arm,target,seed,ed2,sw1,coverage,mass_err,event_time,censored,kernel_pairs,diverged
base,V-3d-K4,1,0.008911374851145681,0.0405651095321199,1.0,0.08333333333333331,58,0,2150400,0
base,V-3d-K4,2,0.008729227223187364,0.040894187745266014,1.0,0.04166666666666666,48,0,2150400,0
base,V-3d-K4,3,0.009367247342565,0.04453821926023498,1.0,0.04166666666666666,55,0,2150400,0
base,V-3d-K4,4,0.009475276883157413,0.04309546483396176,1.0,0.08333333333333331,51,0,2150400,0
base,V-3d-K4,5,0.009229534451868693,0.04212635785861419,1.0,0.08333333333333331,59,0,2150400,0
base,V-2d-K4-wide,0,0.007007797530268478,0.05024071059848132,1.0,0.0,48,0,2150400,0
base,V-2d-K4-wide,1,0.006138582840914397,0.0458828587411263,1.0,0.0,40,0,2150400,0
base,V-2d-K4-wide,2,0.007291895738014809,0.052389483691617715,1.0,0.0,44,0,2150400,0
base,V-2d-K4-wide,3,0.006968295441332817,0.048444470174153785,1.0,0.08333333333333331,46,0,2150400,0
base,V-2d-K4-wide,4,0.0073604507535125485,0.0510573208103091,1.0,0.0,51,0,2150400,0
base,V-2d-K4-wide,5,0.005895403594619486,0.04514635907427016,1.0,0.04166666666666666,47,0,2150400,0
coarse-only,V-1d-K3,0,0.00611638811220605,0.0730528719706285,1.0,0.08333333333333331,100,0,2150400,0
coarse-only,V-1d-K3,1,0.009632851016805333,0.09378296519694712,1.0,0.041666666666666685,101,0,2150400,0
coarse-only,V-1d-K3,2,0.010242415943539918,0.09627111005855486,1.0,0.12499999999999994,95,0,2150400,0
coarse-only,V-1d-K3,3,0.011201598560427795,0.0940906151843101,1.0,0.08333333333333331,116,0,2150400,0
coarse-only,V-1d-K3,4,0.008499318749485285,0.08644441142420022,1.0,0.0,107,0,2150400,0
coarse-only,V-1d-K3,5,0.008769507323968861,0.08869004980562753,1.0,0.041666666666666685,113,0,2150400,0
coarse-only,V-2d-K5,0,0.015568733625561881,0.08429394576159885,1.0,0.05000000000000002,118,0,2150400,0
coarse-only,V-2d-K5,1,0.018601086788328836,0.09443624713779945,1.0,0.09166666666666667,104,0,2150400,0
coarse-only,V-2d-K5,2,0.01857759765534861,0.09572212563263251,1.0,0.13333333333333336,108,0,2150400,0
coarse-only,V-2d-K5,3,0.02059199483471641,0.10553091295265699,1.0,0.09166666666666667,118,0,2150400,0
coarse-only,V-2d-K5,4,0.01697011661568748,0.08890824224550041,1.0,0.05000000000000002,128,0,2150400,0
coarse-only,V-2d-K5,5,0.017518390370302894,0.09366199476239223,1.0,0.1333333333333333,117,0,2150400,0
coarse-only,V-2d-K4-uneq,0,0.016977592765103244,0.07792988338902278,1.0,0.07500000000000007,130,0,2150400,0
coarse-only,V-2d-K4-uneq,1,0.015697346589150785,0.07389004409608493,1.0,0.07500000000000002,115,0,2150400,0
coarse-only,V-2d-K4-uneq,2,0.015407188633185243,0.07118205814447923,1.0,0.049999999999999975,123,0,2150400,0
coarse-only,V-2d-K4-uneq,3,0.01783258556998968,0.08302499932879134,1.0,0.10833333333333343,123,0,2150400,0
coarse-only,V-2d-K4-uneq,4,0.016056890721539263,0.07566297035428511,1.0,0.12499999999999997,133,0,2150400,0
coarse-only,V-2d-K4-uneq,5,0.012546300225663831,0.06245710431369123,1.0,0.04166666666666673,108,0,2150400,0
coarse-only,V-3d-K4,0,0.018434679707901802,0.06777797493145955,1.0,0.125,162,0,2150400,0
coarse-only,V-3d-K4,1,0.01730513751299756,0.06404776349085205,1.0,0.125,147,0,2150400,0
coarse-only,V-3d-K4,2,0.015037326867239909,0.060465730588791754,1.0,0.08333333333333331,119,0,2150400,0
coarse-only,V-3d-K4,3,0.016976295341429193,0.06557719201393188,1.0,0.04166666666666666,136,0,2150400,0
coarse-only,V-3d-K4,4,0.014590542786642624,0.055656420180955485,1.0,0.125,124,0,2150400,0
coarse-only,V-3d-K4,5,0.014871782761499475,0.059002384477194365,1.0,0.08333333333333329,150,0,2150400,0
coarse-only,V-2d-K4-wide,0,0.008255827172989783,0.056421150694228754,1.0,0.08333333333333334,93,0,2150400,0
coarse-only,V-2d-K4-wide,1,0.00888415478865423,0.05824253630037608,1.0,0.04166666666666666,80,0,2150400,0
coarse-only,V-2d-K4-wide,2,0.009570167297581422,0.06163229925973102,1.0,0.0,80,0,2150400,0
coarse-only,V-2d-K4-wide,3,0.009923084723407083,0.06222954701231237,1.0,0.08333333333333329,89,0,2150400,0
coarse-only,V-2d-K4-wide,4,0.009412708188564212,0.06029028473106646,1.0,0.04166666666666666,97,0,2150400,0
coarse-only,V-2d-K4-wide,5,0.008531681106845657,0.056415308074573525,1.0,0.125,94,0,2150400,0
c2f-only,V-1d-K3,0,0.005361821499634045,0.07923514687112992,1.0,0.12499999999999994,86,0,2150400,0
c2f-only,V-1d-K3,1,0.0033874298171444606,0.062496858016308936,1.0,0.08333333333333331,86,0,2150400,0
c2f-only,V-1d-K3,2,0.004683419383218923,0.07362301148609651,1.0,0.08333333333333331,84,0,2150400,0
c2f-only,V-1d-K3,3,0.004458235572849634,0.07262095640465267,1.0,0.08333333333333331,96,0,2150400,0
c2f-only,V-1d-K3,4,0.002168707355010291,0.04850930045409113,1.0,0.0,92,0,2150400,0
c2f-only,V-1d-K3,5,0.0036138955682935014,0.06402210379213806,1.0,0.08333333333333331,96,0,2150400,0
c2f-only,V-2d-K5,0,0.0077043698827303775,0.054335182429884686,1.0,0.05000000000000002,89,0,2150400,0
c2f-only,V-2d-K5,1,0.005684626586753616,0.047668440028709694,1.0,0.09166666666666667,85,0,2150400,0
c2f-only,V-2d-K5,2,0.007289896723890799,0.05386591046453208,1.0,0.09166666666666667,85,0,2150400,0
c2f-only,V-2d-K5,3,0.006045826714361935,0.04752049282653538,1.0,0.05000000000000002,90,0,2150400,0
c2f-only,V-2d-K5,4,0.00613667415165442,0.04751474254931982,1.0,0.05000000000000002,95,0,2150400,0
c2f-only,V-2d-K5,5,0.006703079299638759,0.05176374870562225,1.0,0.05000000000000002,90,0,2150400,0
c2f-only,V-2d-K4-uneq,0,0.005838427405264746,0.04352219410355217,1.0,0.0666666666666667,97,0,2150400,0
c2f-only,V-2d-K4-uneq,1,0.004971665520534074,0.040119608878017014,1.0,0.033333333333333395,88,0,2150400,0
c2f-only,V-2d-K4-uneq,2,0.005158465209135432,0.039349320787726474,1.0,0.049999999999999975,93,0,2150400,0
c2f-only,V-2d-K4-uneq,3,0.007311636476393213,0.05172517055690259,1.0,0.10000000000000002,93,0,2150400,0
c2f-only,V-2d-K4-uneq,4,0.005275605947269613,0.04175637648550241,1.0,0.033333333333333395,99,0,2150400,0
c2f-only,V-2d-K4-uneq,5,0.004827369362127909,0.0381572678375751,1.0,0.04166666666666673,86,0,2150400,0
c2f-only,V-3d-K4,0,0.009907064685767075,0.04444405646470768,1.0,0.04166666666666666,112,0,2150400,0
c2f-only,V-3d-K4,1,0.010639541495409466,0.04759881728119614,1.0,0.04166666666666666,104,0,2150400,0
c2f-only,V-3d-K4,2,0.00979302193281506,0.04460601261955455,1.0,0.04166666666666666,89,0,2150400,0
c2f-only,V-3d-K4,3,0.011030083721801365,0.04832671669739838,1.0,0.0,99,0,2150400,0
c2f-only,V-3d-K4,4,0.010594496208983895,0.04575787338922232,1.0,0.04166666666666666,92,0,2150400,0
c2f-only,V-3d-K4,5,0.008832580147676738,0.04194393778561185,1.0,0.08333333333333331,108,0,2150400,0
c2f-only,V-2d-K4-wide,0,0.007128800544449643,0.05068496795307004,1.0,0.0,80,0,2150400,0
c2f-only,V-2d-K4-wide,1,0.006148961586286417,0.04586523336665854,1.0,0.0,70,0,2150400,0
c2f-only,V-2d-K4-wide,2,0.007372930541668543,0.052962691655399,1.0,0.0,72,0,2150400,0
c2f-only,V-2d-K4-wide,3,0.007055461546581432,0.04906815840461261,1.0,0.08333333333333331,79,0,2150400,0
c2f-only,V-2d-K4-wide,4,0.007410861463180485,0.051362540048544826,1.0,0.0,85,0,2150400,0
c2f-only,V-2d-K4-wide,5,0.0059792911798275394,0.04556255392883633,1.0,0.0,79,0,2150400,0
step-ceil-0.05,V-1d-K3,0,0.001963807462797118,0.04070310938737019,1.0,0.0,18,0,2150400,0
step-ceil-0.05,V-1d-K3,1,0.0019038715332974077,0.041087441920258955,1.0,0.0,19,0,2150400,0
step-ceil-0.05,V-1d-K3,2,0.0024925074695260063,0.04822146865062225,1.0,0.0,18,0,2150400,0
step-ceil-0.05,V-1d-K3,3,0.0020850631420562538,0.04209077252756102,1.0,0.0,22,0,2150400,0
step-ceil-0.05,V-1d-K3,4,0.002079153493105501,0.043210941929514496,1.0,0.0,20,0,2150400,0
step-ceil-0.05,V-1d-K3,5,0.0020216815688509637,0.04061539724070016,1.0,0.0,20,0,2150400,0
step-ceil-0.05,V-2d-K5,0,0.008312435855352351,0.0577454475724217,1.0,0.05000000000000002,15,0,2150400,0
step-ceil-0.05,V-2d-K5,1,0.007144947403428414,0.05188267746312974,1.0,0.07500000000000001,13,0,2150400,0
step-ceil-0.05,V-2d-K5,2,0.007977586282231997,0.05549668738249936,1.0,0.05000000000000002,15,0,2150400,0
step-ceil-0.05,V-2d-K5,3,0.008403697325921833,0.059509415004611134,1.0,0.05000000000000002,15,0,2150400,0
step-ceil-0.05,V-2d-K5,4,0.007503030763555518,0.0559427886814758,1.0,0.05000000000000002,17,0,2150400,0
step-ceil-0.05,V-2d-K5,5,0.00734695996829049,0.05316271475590827,1.0,0.05000000000000002,15,0,2150400,0
step-ceil-0.05,V-2d-K4-uneq,0,0.006313237619213208,0.04406564334988166,1.0,0.02500000000000001,16,0,2150400,0
step-ceil-0.05,V-2d-K4-uneq,1,0.0057651456497247455,0.03897732747934333,1.0,0.06666666666666665,14,0,2150400,0
step-ceil-0.05,V-2d-K4-uneq,2,0.00602941288644443,0.041863610381162236,1.0,0.07500000000000004,15,0,2150400,0
step-ceil-0.05,V-2d-K4-uneq,3,0.0062782054425880585,0.04131645696304814,1.0,0.05000000000000003,14,0,2150400,0
step-ceil-0.05,V-2d-K4-uneq,4,0.005681382029265825,0.04045448857062586,1.0,0.05000000000000002,15,0,2150400,0
step-ceil-0.05,V-2d-K4-uneq,5,0.005790870680137283,0.04179286582314158,1.0,0.06666666666666665,13,0,2150400,0
step-ceil-0.05,V-3d-K4,0,0.011268956783343276,0.04991372900566207,1.0,0.0,17,0,2150400,0
step-ceil-0.05,V-3d-K4,1,0.011726141223227904,0.05023499379810175,1.0,0.04166666666666666,15,0,2150400,0
step-ceil-0.05,V-3d-K4,2,0.012980751352556386,0.0563004437343586,1.0,0.04166666666666666,13,0,2150400,0
step-ceil-0.05,V-3d-K4,3,0.0127581455054262,0.05523260922424387,1.0,0.0,14,0,2150400,0
step-ceil-0.05,V-3d-K4,4,0.012568382761937835,0.05339718334461402,1.0,0.04166666666666666,13,0,2150400,0
step-ceil-0.05,V-3d-K4,5,0.012093766138953077,0.05005694897698156,1.0,0.04166666666666666,17,0,2150400,0
step-ceil-0.05,V-2d-K4-wide,0,0.012572153846805767,0.07679578739460184,1.0,0.04166666666666666,13,0,2150400,0
step-ceil-0.05,V-2d-K4-wide,1,0.01082150892682665,0.06696692384444299,1.0,0.0,10,0,2150400,0
step-ceil-0.05,V-2d-K4-wide,2,0.012434498443130826,0.07594727543935799,1.0,0.0,11,0,2150400,0
step-ceil-0.05,V-2d-K4-wide,3,0.01290033133749069,0.07820441789396611,1.0,0.08333333333333331,11,0,2150400,0
step-ceil-0.05,V-2d-K4-wide,4,0.010789742684666592,0.06898728680033074,1.0,0.0,13,0,2150400,0
step-ceil-0.05,V-2d-K4-wide,5,0.010205625291332732,0.06650439877777488,1.0,0.04166666666666666,12,0,2150400,0
step-ceil-0.1,V-1d-K3,0,0.0023822655479337485,0.044945260640920415,1.0,0.0,10,0,2150400,0
step-ceil-0.1,V-1d-K3,1,0.0025217895586240324,0.04791495746763483,1.0,0.0,10,0,2150400,0
step-ceil-0.1,V-1d-K3,2,0.003530124475536356,0.058656990826714696,1.0,0.0,9,0,2150400,0
step-ceil-0.1,V-1d-K3,3,0.0026848188784126537,0.047981143974093164,1.0,0.0,11,0,2150400,0
step-ceil-0.1,V-1d-K3,4,0.0028334423707603307,0.04833220558610686,1.0,0.041666666666666685,10,0,2150400,0
step-ceil-0.1,V-1d-K3,5,0.0024629086156533475,0.045103019247710645,1.0,0.0,10,0,2150400,0
step-ceil-0.1,V-2d-K5,0,0.009923358652954128,0.06475024559084004,1.0,0.05000000000000002,8,0,2150400,0
step-ceil-0.1,V-2d-K5,1,0.008406307361701337,0.05574765086083713,1.0,0.05000000000000002,7,0,2150400,0
step-ceil-0.1,V-2d-K5,2,0.009324354585300565,0.06272991181482628,1.0,0.05000000000000002,7,0,2150400,0
