cell,family,seed,base_ed2,mod_ed2,base_sw1,mod_sw1,base_time,base_cens,mod_time,mod_cens,base_pairs,mod_pairs,base_div,mod_div
H-1d-K5-uneq/missing,gauss,15,0.015532878424791674,0.015731177668630414,0.13492153672569984,0.13589740068555056,130,0,130,0,2150400,2150400,0,0
H-1d-K5-uneq/missing,gauss,16,0.015407876746427185,0.015899015061064947,0.1452218570760805,0.1476039236482338,142,0,144,0,2150400,2150400,0,0
H-1d-K5-uneq/missing,gauss,17,0.01800561605727391,0.01910514414054676,0.1461327189758338,0.15131972613383068,146,0,150,0,2150400,2150400,0,0
H-1d-K5-uneq/missing,gauss,18,0.02598319021033113,0.029271761474988223,0.19238650949500488,0.20608454932820688,150,0,159,0,2150400,2150400,0,0
H-1d-K5-uneq/missing,gauss,19,0.025571889391074798,0.060807985593846814,0.18521532557333892,0.29610139940293073,167,0,275,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,0,0.015026492505531008,0.018023947087072667,0.1438195718274064,0.16313034622165867,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,1,0.011480583871983363,0.011208254046799926,0.14441876409989554,0.14252049268759542,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,2,0.01041918541678899,0.01025986402290413,0.1369952048844892,0.1359657944294551,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,3,0.0032842274628896995,0.003277606936620714,0.0822149508893122,0.07866140340190665,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,4,0.006648662560602592,0.006624133921465658,0.11734953355276319,0.11710408359657414,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,5,0.008387756478857922,0.004356436212155312,0.10971721320030776,0.07936398363593038,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,6,0.004525589991385193,0.005080855687002117,0.09219900187873907,0.09871524867853042,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,7,0.010098895249329054,0.010686287966884978,0.1121341025091046,0.11595445401864529,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,8,0.0029463441215016317,0.0029430163791914765,0.07491644789076526,0.07516377942218914,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,9,0.006272466665458776,0.007175162326158446,0.11278513285372772,0.12227316544212923,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,10,0.0035296311891881427,0.0035164080471890014,0.06810665755737712,0.06802026577861126,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,11,0.007650782340594686,0.007986970701026719,0.11569057655934391,0.11812515543810198,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,12,0.006849391134122307,0.0069733444017547885,0.11928296408976292,0.12048332636735472,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,13,0.003377890367162184,0.0033050796920461867,0.07201354358495599,0.07104920095152012,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,14,0.003435240045342569,0.0034066722468699684,0.07932864529808333,0.0792671046158439,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,15,0.044833337856140965,0.04508795702245472,0.2939449094448307,0.2948173676730387,46,0,46,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,16,0.004311602591540842,0.004326506620977666,0.09434816074237472,0.09456907183862999,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,17,0.01571338309827075,0.016042132391727026,0.17361277974047856,0.17566341196834695,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,18,0.0050072919801749105,0.005161199112570403,0.09849629096665286,0.10024257887961088,1,0,1,0,2150400,2150400,0,0
H-1d-K5-uneq/covered,gauss,19,0.006542816295273202,0.009754020500606142,0.08953692810209113,0.11251803071279194,1,0,1,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,0,0.007339853975901978,0.0038144758421116975,0.055913243619177905,0.04181582689313392,57,0,73,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,1,0.006547605956521929,0.006269407063132393,0.04907389106459527,0.04829152209870774,57,0,61,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,2,0.008215651524885015,0.008524627403641016,0.06032427638299728,0.062327487407807705,52,0,56,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,3,0.0074656145513776195,0.007449021117820198,0.05709583917282572,0.05765326475595715,58,0,62,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,4,0.007495331143863249,0.007267612334082463,0.05670702680921149,0.05561077419308283,57,0,61,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,5,0.009154522513954433,0.010545007520205374,0.06434769551433853,0.07100041730864255,59,0,64,0,2150400,2150400,0,0
H-2d-K6-sep/missing,gauss,6,0.00731363716751221,0.007931451913678389,0.05482992685829567,0.05715635176918042,58,0,67,0,2150400,2150400,0,0
