arm,kind,target,family,init,cell,seed,planned_steps,completed_steps,maximum_training_batch,large_batch_updates,ordinary_batch_updates,knot_count,prior_batches,diagnostic_target_samples,diagnostic_use_large_batch,diagnostic_min_expected_count,tail_mass,wall_seconds,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,stored_scalars,ed2,sw1,w2_quantile_rmse,weighted_reach,mass_l1,event_time,censored,diverged,tau,budget,virtual_batch,warm_fraction,pulse_period,noise_mix,diagnostic_gap_count,diagnostic_max_gap_ratio,generator_forward_calls,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,0,1200,1200,,,,,,4096,1,5.3125,,4.587722900003428,1766400,906240,906240,11796480,17203200.0,,0.033296262723405246,0.28479309682838605,,0.9600000000000001,0.17140625,500,0,0,0.5,update,1024,0.7,0,0.0,5,2172.4817816716204,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,1,1200,1200,,,,,,4096,1,5.3125,,4.7335907999949995,1766400,906240,906240,11796480,17203200.0,,0.03387337205148233,0.28610403359014785,,0.9600000000000001,0.15041015625,500,0,0,0.5,update,1024,0.7,0,0.0,5,2148.8529264943973,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,2,1200,1200,,,,,,4096,1,5.0,,5.17425930002355,1766400,906240,906240,11796480,17203200.0,,0.031188661052234945,0.27344607100175417,,0.9600000000000001,0.1528515625,550,0,0,0.5,update,1024,0.7,0,0.0,5,2279.706444551497,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,3,1200,1200,,,,,,4096,1,4.6875,,5.1346067000122275,1766400,906240,906240,11796480,17203200.0,,0.047786567676042946,0.29557810583186217,,0.9600000000000001,0.14570312500000002,550,0,0,0.5,update,1024,0.7,0,0.0,5,2212.948073239503,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,4,1200,1200,,,,,,4096,1,5.0625,,4.882195399986813,1766400,906240,906240,11796480,17203200.0,,0.05372493197073025,0.2922441544329077,,0.9600000000000001,0.153828125,450,0,0,0.5,update,1024,0.7,0,0.0,5,2102.856030517286,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,5,1200,1200,,,,,,4096,1,6.3125,,5.172004499996547,1766400,906240,906240,11796480,17203200.0,,0.03717449763212288,0.281659230704447,,0.9600000000000001,0.11916015625000001,500,0,0,0.5,update,1024,0.7,0,0.0,5,2278.5825172771474,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,6,1200,1200,,,,,,4096,1,5.5625,,5.3197036999918055,1766400,906240,906240,11796480,17203200.0,,0.03934005147040809,0.2957820744550715,,0.9600000000000001,0.11578124999999997,500,0,0,0.5,update,1024,0.7,0,0.0,5,2236.507168645177,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,7,1200,1200,,,,,,4096,1,5.3125,,5.0767004000081215,1766400,906240,906240,11796480,17203200.0,,0.03829941613690924,0.290453686277003,,0.9600000000000001,0.1352734375,500,0,0,0.5,update,1024,0.7,0,0.0,5,2140.7110699015575,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,8,1200,1200,,,,,,4096,1,5.625,,5.305654199997662,1766400,906240,906240,11796480,17203200.0,,0.03103795130486775,0.2828737063060986,,0.9600000000000001,0.10568359375,550,0,0,0.5,update,1024,0.7,0,0.0,5,2223.3689258818395,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
gated-M1024-f0.70-u,gated,PQTC-F01-unequal-translated-K6,unequal,far,PQTC-F01-unequal-translated-K6/far,9,1200,1200,,,,,,4096,1,5.5625,,5.188412599993171,1766400,906240,906240,11796480,17203200.0,,0.03932946643644719,0.28044370554241216,,0.9600000000000001,0.14277343750000002,500,0,0,0.5,update,1024,0.7,0,0.0,5,2167.8622374350907,13800,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}"
