arm,target,family,dimension,init,cell,seed,ed2,sw1,mode_coverage,mass_error,support_coverage,residual,event_time,censored,diverged,degenerate_rows,total_kernel_pairs,generator_forwards,wall_seconds,particle_spread,spread_ratio,tau,adam_lr,gain,crossfit,mask,norm_clip,pq_p10,pq_median,delta_norm_median,ess_pos_median,ess_neg_median,field_norm_median,self_leverage_mean
normalized-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,5,0.010978296262385445,0.08768628934104926,nan,nan,0.990234375,0.14844537144821998,34,0,0,0,6561792,801,0.7462124999983644,1.227450885619947,0.9570436870406805,0.35,0.0025,constant,0,1,2.0,0.4195439282494789,0.4772079353777777,0.11169898169765283,16.12536407617894,15.395021073348996,0.11169898169765283,nan
normalized-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,6,0.019917397968684858,0.12765231539371788,nan,nan,1.0,0.21427716640592928,27,0,0,0,6561792,801,0.6938384999994014,1.2733997539919029,1.0184243324317142,0.35,0.0025,constant,0,1,2.0,0.31346339142494234,0.4753726524343853,0.16974873608889746,15.670320541977219,14.65996033606186,0.16974873608889746,nan
normalized-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,7,0.012962598740519082,0.09059631967901745,nan,nan,0.994140625,0.20777204204574634,26,0,0,0,6561792,801,0.7007997000000614,1.2043114449638903,0.9642029543032409,0.35,0.0025,constant,0,1,2.0,0.30213331863004256,0.44644992333807,0.18919728597810953,14.874357218648782,14.974769655728654,0.18919728597810953,nan
normalized-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,8,0.016107487235808016,0.0959959971300208,nan,nan,0.9990234375,0.18803580096593156,31,0,0,0,6561792,801,0.7127591000025859,1.3601842081707127,1.1056312343910564,0.35,0.0025,constant,0,1,2.0,0.35076697164014564,0.506384105918473,0.14909324771749333,15.445490222723585,13.21488619517345,0.14909324771749333,nan
normalized-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,9,0.005949583911766254,0.05997391714591978,nan,nan,0.998046875,0.13674610342785354,33,0,0,0,6561792,801,0.6927820000018983,1.2938599771282213,1.0034129428603176,0.35,0.0025,constant,0,1,2.0,0.3681259422280838,0.4812775681278032,0.12519638480672107,17.71913309144042,16.37564294217581,0.12519638480672107,nan
normalized-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,10,0.011126998045052572,0.09019380649832098,nan,nan,0.9951171875,0.14906387126116843,27,0,0,0,6561792,801,0.6908301999974356,1.2300809841177538,0.9737384589015481,0.35,0.0025,constant,0,1,2.0,0.38597416741370016,0.47177776432984764,0.11617742502318018,15.464554275196514,15.825733713477518,0.11617742502318018,nan
normalized-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,11,0.006358993698404092,0.06337004600958353,nan,nan,0.9990234375,0.15598064767422795,30,0,0,0,6561792,801,0.7278674000008323,1.1681188271014096,0.9431714926180469,0.35,0.0025,constant,0,1,2.0,0.3821417507121759,0.4782394363725466,0.10060273859986166,15.065283911976849,14.467998398073965,0.10060273859986166,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,0,0.007105658679907423,0.06368499702198833,nan,nan,0.982421875,0.06310311337229874,25,0,0,0,6561792,1602,0.7581140000002051,1.2768068612061119,0.9918940117016602,0.35,0.0025,paper,1,0,,0.3883042150742634,0.4652631822221892,0.11338226797770537,15.496084606492122,15.59327391864145,0.05493242587031204,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,1,0.01236955466128209,0.10510908855076655,nan,nan,0.994140625,0.06407812144916034,28,0,0,0,6561792,1602,0.7432484999990265,1.2729485295584737,1.0023163324080915,0.35,0.0025,paper,1,0,,0.31808667737657464,0.4629724641411595,0.12259621286201289,14.65333565200914,14.149173232591313,0.051865919579641,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,2,0.0054704102026148504,0.060289961208478446,nan,nan,0.9951171875,0.08895022875610568,34,0,0,0,6561792,1602,0.7525873999984469,1.2608080592919497,0.9739591072166013,0.35,0.0025,paper,1,0,,0.3677460563447054,0.44493192392940856,0.1728446251145317,15.735997396493195,16.34419961351085,0.08228081634468619,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,3,0.007319666897085408,0.0630106217022784,nan,nan,0.9970703125,0.03848510402787921,29,0,0,0,6561792,1602,0.7807743999983359,1.265392664033435,1.017305807430844,0.35,0.0025,paper,1,0,,0.37145259611501624,0.48604919409220027,0.05735761996123036,16.06540223419742,16.020566915886803,0.030405344837805257,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,4,0.012723727669777363,0.09228230176691743,nan,nan,0.9970703125,0.07804466662499754,25,0,0,0,6561792,1602,0.7722906999988481,1.3692846967119503,1.0837477370834596,0.35,0.0025,paper,1,0,,0.3170286794192237,0.4312981760926781,0.1547702349550582,15.377431284475083,14.186746880644485,0.06443666063825125,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,5,0.009325138131264676,0.08005474402452106,nan,nan,0.994140625,0.06521889540465178,29,0,0,0,6561792,1602,0.7675586000004841,1.2572516402011005,0.980279341008649,0.35,0.0025,paper,1,0,,0.36873413318896486,0.4697131950207504,0.11950785592980355,15.933193845698959,16.334954913968005,0.05404403969901708,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,6,0.019236146438588397,0.12654964886664605,nan,nan,0.9990234375,0.1469622912733803,27,0,0,0,6561792,1602,0.7736389000019699,1.3200078187864503,1.0556999696583749,0.35,0.0025,paper,1,0,,0.20357452449047478,0.45836209076077516,0.347403104354614,15.31105671550625,15.22041527826449,0.1063877196852358,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,7,0.006815440002623241,0.06598711545387023,nan,nan,0.998046875,0.08083005750512151,17,0,0,0,6561792,1602,0.7558519000012893,1.251649796677932,1.0021032655270485,0.35,0.0025,paper,1,0,,0.27579163895122477,0.4263165864822299,0.1342096820215271,14.34184619318283,15.86122508499492,0.07424320956765432,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,8,0.014652545974029652,0.09521656970129612,nan,nan,0.9970703125,0.07779122805904262,21,0,0,0,6561792,1602,0.7606061000005866,1.343803784513176,1.0923163407762515,0.35,0.0025,paper,1,0,,0.3123445455685678,0.4707496884452511,0.14743625464484328,15.20664716336147,14.056083401252508,0.06945839488721355,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,9,0.006871108497887857,0.06580991362927155,nan,nan,0.998046875,0.06635563830141392,28,0,0,0,6561792,1602,0.7602986999991117,1.2343019345007678,0.9572245516277081,0.35,0.0025,paper,1,0,,0.384201363280772,0.47969063794456984,0.10454685800219762,19.3029135505149,15.992040823273324,0.05166348881795968,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,10,0.006408989692757494,0.060563641913401585,nan,nan,0.998046875,0.04887550498246038,27,0,0,0,6561792,1602,0.7280925999984902,1.2483688109824171,0.9882151970820247,0.35,0.0025,paper,1,0,,0.35604877369705734,0.46241229810365625,0.08288481873199892,15.29012598237702,15.429992113203426,0.037303587619901546,nan
crossfit-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,11,0.005387122613214057,0.05600920341019763,nan,nan,0.998046875,0.0799478939022729,21,0,0,0,6561792,1602,0.7105058999986795,1.2375869391070349,0.9992619702043783,0.35,0.0025,paper,1,0,,0.3049352553812458,0.4664555013106516,0.12322032731209409,14.551354609937412,15.083527296082746,0.05112955602936793,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,0,0.005261710672077147,0.055865562462686265,nan,nan,0.98828125,0.05989357122166307,25,0,0,0,6561792,801,0.700834200000827,1.2988774188759438,1.0090396385405878,0.35,0.0025,paper,0,1,,0.38775307338463677,0.4992917944844386,0.10885520917875613,15.054698616953887,14.06123543574428,0.056930447360093436,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,1,0.012118531019855272,0.09826538269799706,nan,nan,0.9990234375,0.05857208843558055,28,0,0,0,6561792,801,0.6895527999986371,1.2559360162972997,0.9889207241010545,0.35,0.0025,paper,0,1,,0.3463899728347092,0.4833773039013386,0.09603299826311043,14.27011197896959,12.837467591044025,0.04598738932210426,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,2,0.007980745164013259,0.06956379468857361,nan,nan,0.9990234375,0.06164734574898852,34,0,0,0,6561792,801,0.6919424000006984,1.3030560394185673,1.0065951652609424,0.35,0.0025,paper,0,1,,0.38426606311395367,0.48102483813177216,0.1068863697347374,14.955484759866323,15.160909457446248,0.04629846784283543,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,3,0.006095400955185237,0.0628214002264813,nan,nan,0.9990234375,0.05933791882927155,29,0,0,0,6561792,801,0.7008137000011629,1.285925913195554,1.033813405595248,0.35,0.0025,paper,0,1,,0.40645301742257794,0.49300257016034654,0.10608907879642852,15.232069515902896,15.1749226286681,0.050430357391940954,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,4,0.0070215078524753505,0.06673408558851855,nan,nan,0.9990234375,0.09008583901888892,25,0,0,0,6561792,801,0.6980726000001596,1.3093320710410812,1.0362970333992394,0.35,0.0025,paper,0,1,,0.37513658315862947,0.47371330582732774,0.16042696765832326,16.140975300463545,15.411676344600762,0.07516067335086421,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,5,0.011048081664387865,0.08763458701050902,nan,nan,0.9921875,0.0749205328325513,29,0,0,0,6561792,801,0.6874564999998256,1.2381348191663484,0.965373952042022,0.35,0.0025,paper,0,1,,0.38716996681325433,0.49153935759115897,0.11381294367076786,16.538698517572648,14.955780511364436,0.05238115527542876,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,6,0.02229494881461025,0.13727826565123585,nan,nan,0.9970703125,0.09270398802590128,27,0,0,0,6561792,801,0.6958334999981162,1.2947758173358956,1.0355202231548581,0.35,0.0025,paper,0,1,,0.2869690336025853,0.49699159759734546,0.18462528667645758,16.70520126878736,14.480555499117573,0.08621543861826932,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,7,0.014593996477921811,0.09752111838212447,nan,nan,0.998046875,0.09914140346392339,17,0,0,0,6561792,801,0.7428351000016846,1.2051756288866384,0.9648948423483636,0.35,0.0025,paper,0,1,,0.30262203344171096,0.46007026643330595,0.18351311617002036,15.192965233770853,14.803064885254216,0.08317579229583415,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,8,0.017850284490642743,0.10334766293273882,nan,nan,1.0,0.07812084951853507,21,0,0,0,6561792,801,0.744161400001758,1.3739335833088338,1.1168074695765178,0.35,0.0025,paper,0,1,,0.3647014772874683,0.5124756317000472,0.1469858798813558,15.556664502967253,13.188609991505688,0.0768088402924849,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,9,0.00704539793091663,0.07492933905346322,nan,nan,0.998046875,0.07074054387580046,31,0,0,0,6561792,801,0.7394000999993295,1.3305965291506274,1.0319028354506736,0.35,0.0025,paper,0,1,,0.3659016382607182,0.4984314025835267,0.09708109986807766,17.788769449273637,14.955827641230659,0.04818567244971693,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,10,0.009114573559538597,0.081141677573306,nan,nan,0.994140625,0.08048810273306528,27,0,0,0,6561792,801,0.7441919000011694,1.2290644374174584,0.9729337552843655,0.35,0.0025,paper,0,1,,0.37352076539728996,0.46763126682095496,0.13964547586816745,15.657278246896038,16.80169638492921,0.06208919413350658,nan
jitter-only,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,11,0.0060709720137057666,0.06131804049713301,nan,nan,0.998046875,0.0725141143559848,21,0,0,0,6561792,801,0.7278110000006563,1.16153565060633,0.9378560535916599,0.35,0.0025,paper,0,1,,0.3722858392703612,0.46328452820794164,0.0712776655894434,14.923259451071111,14.893158010495867,0.03611712623614381,nan
normalized-crossfit,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,0,0.008336956096209658,0.06867022322527025,nan,nan,0.98828125,0.14912166934118928,25,0,0,0,6561792,1602,0.7705131999973673,1.2956477248165938,1.0065306340118438,0.35,0.0025,constant,1,0,2.0,0.39204224973787094,0.47800085171522366,0.12161440049246865,15.775697214608911,15.420109534251516,0.12161440049246865,nan
normalized-crossfit,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,1,0.014497749201128007,0.1087239492754753,nan,nan,0.9921875,0.15813260410955496,33,0,0,0,6561792,1602,0.7654647000017576,1.3264344663542926,1.044431018712958,0.35,0.0025,constant,1,0,2.0,0.36840703366690786,0.4764484248680174,0.13391914179235315,16.177440839799296,14.401659865771752,0.13391914179235315,nan
normalized-crossfit,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,2,0.006084594245959085,0.06329937714443037,nan,nan,0.9921875,0.1958359231031219,34,0,0,0,6561792,1602,0.7548349999997299,1.247244962854931,0.963481777856643,0.35,0.0025,constant,1,0,2.0,0.3579311301986953,0.44262770896020076,0.17492808655473072,15.373455259242604,16.533600843556442,0.17492808655473072,nan
normalized-crossfit,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,3,0.006860224912965229,0.06720615988594363,nan,nan,0.9912109375,0.07672247116973151,31,0,0,0,6561792,1602,0.7448570999986259,1.2345842654466255,0.9925375566808323,0.35,0.0025,constant,1,0,2.0,0.378790140555491,0.48348273758186305,0.05415824543271816,16.6624062565735,16.75029722866125,0.05415824543271816,nan
normalized-crossfit,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,4,0.008776827797330577,0.07442678761733065,nan,nan,0.998046875,0.181942102970752,35,0,0,0,6561792,1602,0.7683859000026132,1.3459087145431914,1.0652463488489097,0.35,0.0025,constant,1,0,2.0,0.36494213793092756,0.43884416770877904,0.15533810997102482,16.221485611480652,14.436243001471176,0.15533810997102482,nan
normalized-crossfit,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,5,0.007072288098923352,0.06971740826299783,nan,nan,0.994140625,0.13900014519428894,35,0,0,0,6561792,1602,0.7460287999965658,1.2717198322405812,0.9915601930708345,0.35,0.0025,constant,1,0,2.0,0.36692539926198087,0.4704555872741225,0.11961323027793222,16.254774195541728,15.925356479197799,0.11961323027793222,nan
normalized-crossfit,NCJG-moons-127,moons,2,missing,NCJG-moons-127/missing,6,0.017335975450365693,0.1174748994867269,nan,nan,1.0,0.39763810488389084,27,0,0,0,6561792,1602,0.7314931000000797,1.3069964193403805,1.0452938691755327,0.35,0.0025,constant,1,0,2.0,0.2649180191608339,0.42319337393491563,0.35224357821849794,14.676021831347162,15.492174263654562,0.35224357821849794,nan
