candidate,target,seed,ed2,event_time,censored,kernel_pairs
sigma-plateau,V-2d-K4-wide,5,0.006688811137702366,51,0,2150400
sigma-agree,V-1d-K3,0,0.004095969847939918,53,0,2295552
sigma-agree,V-1d-K3,1,0.0038413435814975694,59,0,2161152
sigma-agree,V-1d-K3,2,0.0037013055673180695,70,0,2295552
sigma-agree,V-1d-K3,3,0.0032797144519197685,53,0,2295552
sigma-agree,V-1d-K3,4,0.004611451828148483,53,0,2295552
sigma-agree,V-1d-K3,5,0.004351365740458246,68,0,2295552
sigma-agree,V-2d-K5,0,0.006097280865916543,60,0,2161152
sigma-agree,V-2d-K5,1,0.006703085700277223,64,0,2155776
sigma-agree,V-2d-K5,2,0.006680912934067029,70,0,2155776
sigma-agree,V-2d-K5,3,0.008225175949485575,62,0,2295552
sigma-agree,V-2d-K5,4,0.00794300879975518,65,0,2295552
sigma-agree,V-2d-K5,5,0.006962463724294432,67,0,2155776
sigma-agree,V-2d-K4-uneq,0,0.007317556605360598,62,0,2295552
sigma-agree,V-2d-K4-uneq,1,0.0073843214317892425,66,0,2295552
sigma-agree,V-2d-K4-uneq,2,0.005511191502171386,67,0,2166528
sigma-agree,V-2d-K4-uneq,3,0.00672395079845467,65,0,2295552
sigma-agree,V-2d-K4-uneq,4,0.0055878252484923285,63,0,2161152
sigma-agree,V-2d-K4-uneq,5,0.00804315088985108,72,0,2295552
sigma-agree,V-3d-K4,0,0.011399421407390364,81,0,2171904
sigma-agree,V-3d-K4,1,0.010244203204234026,81,0,2171904
sigma-agree,V-3d-K4,2,0.014810928940800272,89,0,2295552
sigma-agree,V-3d-K4,3,0.012639064765099128,81,0,2295552
sigma-agree,V-3d-K4,4,0.012555311269998315,71,0,2295552
sigma-agree,V-3d-K4,5,0.012387236447479744,81,0,2295552
sigma-agree,V-2d-K4-wide,0,0.006007574718708497,44,0,2171904
sigma-agree,V-2d-K4-wide,1,0.006334674629243864,51,0,2155776
sigma-agree,V-2d-K4-wide,2,0.006360398483387764,56,0,2155776
sigma-agree,V-2d-K4-wide,3,0.005513188915732492,51,0,2155776
sigma-agree,V-2d-K4-wide,4,0.006675126557670774,51,0,2161152
sigma-agree,V-2d-K4-wide,5,0.006622614932614512,51,0,2161152
