arm,target,family,dimension,init,cell,seed,ed2,sw1,mode_coverage,mass_error,support_coverage,residual,event_time,censored,diverged,degenerate_rows,training_kernel_pairs,total_kernel_pairs,generator_forwards,wall_seconds,particle_spread,spread_ratio,tau,eta,sigma_ratio,sigma,gain,crossfit,mask,norm_clip,pq_p10,pq_median,delta_norm_median,ess_pos_median,ess_neg_median,field_norm_median,self_leverage_mean
normalized-only,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,0,0.009157186951903706,0.05566909777611949,nan,nan,0.779296875,0.07633669860799443,86,0,0,0,2150400,2155776,0,0.21140159999777097,0.8735803448355279,1.2125863713163285,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.20310776305528222,0.5520670572668787,0.06724616816730501,28.21028001254045,22.929049752265506,0.06724616816730501,nan
normalized-only,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,1,0.008468495209045357,0.05458820318301224,nan,nan,0.7822265625,0.0879981333463923,87,0,0,0,2150400,2155776,0,0.21662520000245422,0.8535101469324476,1.2016364032716973,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.2121089858313799,0.5409389418502684,0.05346575009424491,29.910103929543915,23.104703284643996,0.05346575009424491,nan
normalized-only,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,2,0.010225097022380614,0.06142483828729012,nan,nan,0.7783203125,0.1025850782270991,99,0,0,0,2150400,2155776,0,0.21233850000135135,0.8645637777597522,1.227323192441104,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.21216131071707856,0.5443864784176523,0.0865845802526732,28.821961251502486,21.8933531145283,0.0865845802526732,nan
normalized-only,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,3,0.009079815233733912,0.056424669449273414,nan,nan,0.740234375,0.10330998453947737,89,0,0,0,2150400,2155776,0,0.2085458999936236,0.9192903188444161,1.2479429438322545,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.18621210785176753,0.5088283599322152,0.06724629581993732,27.8097080130784,21.864889669568058,0.06724629581993732,nan
normalized-only,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,4,0.010337637475180683,0.0619925197453459,nan,nan,0.7216796875,0.09566046366516859,91,0,0,0,2150400,2155776,0,0.2123311999894213,0.883550864446422,1.2303088722139737,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.19287838829594817,0.5555238251231447,0.06821232130192817,29.60110035708427,22.71058060084473,0.06821232130192817,nan
normalized-only,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,5,0.008288739090730024,0.05389109458768091,nan,nan,0.7138671875,0.0634644610161347,85,0,0,0,2150400,2155776,0,0.21275150000292342,0.8678136866044086,1.1740260443638735,0.35,0.0525,0.0,0.0,constant,0,1,2.0,0.20801793645749858,0.5244055099146582,0.04083031095477025,28.879367192436916,21.44511620114234,0.04083031095477025,nan
abc,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,0,0.008650569386192797,0.05338897724185838,nan,nan,0.783203125,0.07460955280346934,85,0,0,0,2150400,2155776,0,0.22157049999805167,0.8672301866447374,1.2037719384786654,0.35,0.0525,0.0,0.0,abc,0,1,2.0,0.20966748355473355,0.5538755871232233,0.06631112580006832,28.213364111154718,23.10006666507063,0.06408979526594946,nan
abc,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,1,0.00789645446599685,0.05286831236220851,nan,nan,0.78515625,0.08601207026353459,86,0,0,0,2150400,2155776,0,0.22193590000097174,0.8407089149996526,1.1836138567882657,0.35,0.0525,0.0,0.0,abc,0,1,2.0,0.21630424459752573,0.5421367947712658,0.05312080367953648,29.882385029119817,23.99253456090434,0.0526440738891415,nan
abc,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,2,0.009703355029132443,0.059395205779370505,nan,nan,0.7880859375,0.1008647945845842,99,0,0,0,2150400,2155776,0,0.22480060000088997,0.8575627261735664,1.217384593110159,0.35,0.0525,0.0,0.0,abc,0,1,2.0,0.2197353263999656,0.5455847232405273,0.08810622373008307,29.531548515934226,22.416538932205917,0.08616361736850522,nan
abc,NCJT-spiral-21,spiral,2,concentrated,NCJT-spiral-21/concentrated,3,0.008169539672299164,0.05253029076592399,nan,nan,0.7431640625,0.1057257236120885,89,0,0,0,2150400,2155776,0,0.22771300000022165,0.8927789115961767,1.211953525768881,0.35,0.0525,0.0,0.0,abc,0,1,2.0,0.18531092041984523,0.5043888360223944,0.06484893879494345,28.150619598133304,21.72723496189846,0.06367758473324617,nan
