K,d,arm,comparison,seed,steps,final_ED2,coverage,mass_error,event_time,censored,kernel_pairs,wall_seconds,L_est,sigma_est,best_tau,oracle_tune_kernel_pairs
4,2,anneal-oracle-common,bandwidth-only,1,80,0.024223379483777507,1.0,0.25,80,1,245760,0.1496579647064209,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,anneal-estimated-common,bandwidth-only,0,80,0.030586236822056523,1.0,0.25,80,1,245760,0.14574718475341797,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,anneal-estimated-common,bandwidth-only,1,80,0.024214552544628454,1.0,0.25,80,1,245760,0.15329957008361816,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,oracle-grid-common,held-out oracle,0,80,0.02421587130946179,1.0,0.1875,61,0,245760,0.1572132110595703,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,oracle-grid-common,held-out oracle,1,80,0.01820360125188636,1.0,0.125,80,1,245760,0.14507460594177246,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,fine-joint,joint policy,0,80,0.14606031594660385,1.0,0.5,80,1,245760,0.14426279067993164,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,fine-joint,joint policy,1,80,0.10874389116008576,1.0,0.4375,80,1,245760,0.15736103057861328,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,coarse-joint,joint policy,0,80,0.03027853889801191,1.0,0.125,80,1,245760,0.1608884334564209,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,coarse-joint,joint policy,1,80,0.02077420600026314,1.0,0.0625,80,1,245760,0.145338773727417,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,anneal-oracle-joint,joint policy,0,80,0.05857315392856455,1.0,0.25,80,1,245760,0.1455988883972168,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,anneal-oracle-joint,joint policy,1,80,0.04221226726441096,1.0,0.25,80,1,245760,0.1563112735748291,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,anneal-estimated-joint,joint policy,0,80,0.058564534684875325,1.0,0.25,80,1,245760,0.15772509574890137,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
4,2,anneal-estimated-joint,joint policy,1,80,0.04220597318097141,1.0,0.25,80,1,245760,0.15234637260437012,0.9994804883783404,0.1500990749274625,0.21213203435596423,2211840
