all_reportable_components_reached,arm,cell,denominator_min,descent_step_cosine,ed2,effective_step_norm,family,field_max,field_rms,finisher_qld_gradient_cosine,floor_activations,init,mass_l1,minimum_component_occupancy,negative_terms,output_mean,output_q01,output_q10,output_q50,output_q90,output_q99,output_std,parameter_gradient_norm,phase,quantile_cdf_error,seed,step,sw1,target,wall_seconds,work_backward_examples,work_diagnostic_generator_example_evals,work_diagnostic_generator_forward_calls,work_diagnostic_target_samples,work_generator_example_evals,work_generator_forward_calls,work_kernel_pairs,work_metric_generator_example_evals,work_metric_generator_forward_calls,work_metric_target_samples,work_negative_reference_samples,work_optimizer_updates,work_positive_target_samples,work_sort_work,work_unique_latent_samples
0.0,qld-mean-crossfit-t1,CF-A03-rare030/concentrated,0.06593244732141444,0.40775943619376404,0.20421177836395255,0.0860203200331341,separated-unequal-rare,1.0192207033040845,0.6042325696142908,-0.2869737752559421,0.0,concentrated,0.24765625000000005,0.0,32.0,-0.6839106806878885,-2.6301439400623945,-2.4617907878646244,-1.2302632062868035,1.8674107206836112,2.2799359425068526,1.61716427422093,0.9642104160029158,finisher,0.15297379032258066,0,43,0.6519153022687776,CF-A03-rare030,0.37850250001065433,1376.0,64.0,2.0,32.0,1408.0,44.0,2048.0,2048.0,4.0,2048.0,32.0,43.0,1376.0,13440.0,1408.0
0.0,qld-mean-crossfit-t1,CF-A03-rare030/concentrated,0.10639645792604563,0.18774273296058253,0.18671003300238231,0.05417524776040462,separated-unequal-rare,0.7724131492335666,0.550663890851451,-0.2989838912146704,0.0,concentrated,0.24375000000000005,0.0,32.0,-0.7082622369168274,-2.671006323541319,-2.5025243982200394,-1.2639670610439426,1.8926943382874064,2.3070844798941454,1.6371330160777504,1.6534196578061768,finisher,0.14868951612903225,0,44,0.6313053108799741,CF-A03-rare030,0.3811606999952346,1408.0,128.0,4.0,64.0,1472.0,46.0,4096.0,2560.0,5.0,2560.0,64.0,44.0,1408.0,13440.0,1472.0
0.0,qld-mean-crossfit-t1,CF-A03-rare030/concentrated,0.10792583333040409,0.41229918622334677,0.16851077370168688,0.03774347239040402,separated-unequal-rare,0.7615959492857939,0.4759919430985496,-0.3232113024911722,0.0,concentrated,0.22812500000000005,0.0,32.0,-0.7345363953968318,-2.717092234001945,-2.5474862448435416,-1.302494214463501,1.9065706337907207,2.3395191611026385,1.6583592056657868,0.9280079488626354,finisher,0.14125504032258066,0,45,0.6074273262055846,CF-A03-rare030,0.38391209999099374,1440.0,192.0,6.0,96.0,1536.0,48.0,6144.0,3072.0,6.0,3072.0,96.0,45.0,1440.0,13440.0,1536.0
0.0,qld-mean-crossfit-t1,CF-A03-rare030/concentrated,0.11166698851955352,0.39432955028647876,0.1541228130382346,0.03627428823452125,separated-unequal-rare,0.5595152770772789,0.3189204134672334,-0.3154850342998074,0.0,concentrated,0.22812500000000005,0.0,32.0,-0.7589681758541,-2.753116432048493,-2.5822275061560522,-1.336332136300417,1.9112725122984395,2.36103249561339,1.6717205896575427,0.3887248998579821,finisher,0.1338835685483871,0,46,0.5860956097885878,CF-A03-rare030,0.3865174000093248,1472.0,256.0,8.0,128.0,1600.0,50.0,8192.0,3584.0,7.0,3584.0,128.0,46.0,1472.0,13440.0,1600.0
0.0,qld-mean-crossfit-t1,CF-A03-rare030/concentrated,0.07893746716746697,0.3621661335265752,0.14373533809163064,0.03709556513137332,separated-unequal-rare,0.43183380901443236,0.2845663996300213,-0.330005113842554,0.0,concentrated,0.20921875000000004,0.0,32.0,-0.7807960659906719,-2.7775007150763273,-2.606151764208969,-1.3650807906334914,1.9000339920079088,2.370815614384055,1.6763338952203635,0.3930573402189192,finisher,0.1275201612903226,0,47,0.5663469902921242,CF-A03-rare030,0.38920629999483936,1504.0,320.0,10.0,160.0,1664.0,52.0,10240.0,4096.0,8.0,4096.0,160.0,47.0,1504.0,13440.0,1664.0
0.0,qld-mean-crossfit-t1,CF-A03-rare030/concentrated,0.09602627991456772,0.34531133026443483,0.11750061456465488,0.03621297546306725,separated-unequal-rare,0.7418264799148199,0.4141538769094887,-0.3654282624769797,0.0,concentrated,0.18515625000000005,0.0,32.0,-0.8450497711737195,-2.846904119917751,-2.665330864394426,-1.4430210179659249,1.8675244249493477,2.391543934183078,1.684274000046044,0.5014061624296913,finisher,0.10779989919354839,0,50,0.509113663077477,CF-A03-rare030,0.3928596999903675,1600.0,384.0,12.0,192.0,1856.0,58.0,16384.0,4608.0,9.0,4608.0,256.0,50.0,1600.0,13440.0,1856.0
0.0,qld-mean-crossfit-t1,CF-A03-rare030/concentrated,0.09907117994127762,0.3454073211030555,0.07763727483640626,0.02759750379893511,separated-unequal-rare,0.7214927516504999,0.3618567319788893,-0.5860071054179513,0.0,concentrated,0.11546875000000004,0.0,32.0,-0.9998467872656964,-2.973311691549634,-2.7676779780312595,-1.5606298927635645,1.6791209116415406,2.3561958791298743,1.645978793911021,0.7420410762325365,finisher,0.07642389112903226,0,60,0.3933250802529627,CF-A03-rare030,0.39806869998574257,1920.0,448.0,14.0,224.0,2496.0,78.0,36864.0,5120.0,10.0,5120.0,576.0,60.0,1920.0,13440.0,2496.0
0.0,qld-sharp-deleted-t1,CF-A03-rare030/concentrated,nan,nan,1.8694647162962519,nan,separated-unequal-rare,nan,nan,nan,0.0,concentrated,1.6400000000000003,0.0,0.0,-0.00263701064477901,-0.0675860244879421,-0.05409409687478549,-0.005408544726046304,0.05412432429500285,0.06908780709265439,0.03982090354693476,nan,initial,0.30229334677419356,0,0,1.7763710844005636,CF-A03-rare030,0.003708600008394569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,512.0,1.0,512.0,0.0,0.0,0.0,0.0,0.0
0.0,qld-sharp-deleted-t1,CF-A03-rare030/concentrated,nan,0.28315224911055514,0.6698089815584702,0.07128983874277242,separated-unequal-rare,2.5680414993191905,1.2085183655168497,1.0,0.0,concentrated,0.86,0.0,0.0,-0.3008617736504064,-1.710195871634291,-1.5427008479823594,-0.4945993448643182,1.2542948705345907,1.522565007441239,1.0420588217763913,1.982390275200968,prefix,0.22360131048387097,0,25,1.1390019299389742,CF-A03-rare030,0.010621099994750693,800.0,0.0,0.0,0.0,800.0,25.0,0.0,1024.0,2.0,1024.0,0.0,25.0,800.0,8000.0,800.0
0.0,qld-sharp-deleted-t1,CF-A03-rare030/concentrated,nan,0.3583050441478369,0.18658408083142985,0.047158764065544194,separated-unequal-rare,2.299989622522518,1.0635553853631798,1.0,0.0,concentrated,0.26,0.0,0.0,-0.6838060053908106,-2.7050870346133564,-2.5401494229488675,-1.2286283526684776,1.9408192743190422,2.369828515822474,1.6819049753947768,1.6693435437814022,prefix,0.14642137096774194,0,42,0.6489227512977742,CF-A03-rare030,0.01672009998583235,1344.0,0.0,0.0,0.0,1344.0,42.0,0.0,1536.0,3.0,1536.0,0.0,42.0,1344.0,13440.0,1344.0
0.0,qld-sharp-deleted-t1,CF-A03-rare030/concentrated,0.17607147763628364,0.45233852767189403,0.19600646042198644,0.0859779886188523,separated-unequal-rare,0.328135284690979,0.19696073638225606,0.9281275050644772,0.0,concentrated,0.24765625000000005,0.0,31.0,-0.6894010541695628,-2.657363622746837,-2.488971108283374,-1.2457650975235746,1.8955267129687585,2.3058435227789906,1.636430357894907,0.27449369090870473,finisher,0.1509576612903226,0,43,0.6468709967959649,CF-A03-rare030,0.401485699985642,1376.0,32.0,1.0,32.0,1376.0,43.0,2016.0,2048.0,4.0,2048.0,32.0,43.0,1376.0,13440.0,1376.0
0.0,qld-sharp-deleted-t1,CF-A03-rare030/concentrated,0.22347528732657948,0.2098498402238619,0.17458700385553305,0.05568701536588673,separated-unequal-rare,0.27813296340726884,0.17051678364290765,0.8251674555054516,0.0,concentrated,0.23984375000000005,0.0,31.0,-0.7152350728921361,-2.7127421466230497,-2.542821933966809,-1.2734539000527199,1.94412256370023,2.353961651646817,1.670413965634089,0.5976337229392584,finisher,0.14383820564516128,0,44,0.6260076583983474,CF-A03-rare030,0.404467599990312,1408.0,64.0,2.0,64.0,1408.0,44.0,4032.0,2560.0,5.0,2560.0,64.0,44.0,1408.0,13440.0,1408.0
0.0,qld-sharp-deleted-t1,CF-A03-rare030/concentrated,0.2006631413003403,0.42558413539734946,0.15644421325749702,0.034647714442756994,separated-unequal-rare,0.3064356783949418,0.14582249414847243,0.6208977203653456,0.0,concentrated,0.23593750000000005,0.0,31.0,-0.7409521132313648,-2.763921071164502,-2.593088406987694,-1.3143715937643927,1.9681676114813698,2.393407345463025,1.6973525655509014,0.21130479018210535,finisher,0.13274949596774194,0,45,0.6025762961668322,CF-A03-rare030,0.40766870000516064,1440.0,96.0,3.0,96.0,1440.0,45.0,6048.0,3072.0,6.0,3072.0,96.0,45.0,1440.0,13440.0,1440.0
0.0,qld-sharp-deleted-t1,CF-A03-rare030/concentrated,0.24663779848556563,0.47517241212086375,0.14125936971708253,0.0336986217799418,separated-unequal-rare,0.1559275634685005,0.08961165605511123,0.4650297156002168,0.0,concentrated,0.22484375000000004,0.0,31.0,-0.7662526071582572,-2.8098020081969524,-2.637964572981678,-1.3481895648946578,1.9878528336053958,2.4278946976661238,1.7201537489598542,0.12719337111017462,finisher,0.12184979838709678,0,46,0.5804837671180428,CF-A03-rare030,0.41086939998785965,1472.0,128.0,4.0,128.0,1472.0,46.0,8064.0,3584.0,7.0,3584.0,128.0,46.0,1472.0,13440.0,1472.0
0.0,qld-sharp-deleted-t1,CF-A03-rare030/concentrated,0.19265391297646417,0.4725359259523771,0.1294253466151032,0.03892390748195386,separated-unequal-rare,0.35942593639089127,0.22477501489297108,0.47944674756172817,0.0,concentrated,0.22484375000000004,0.0,31.0,-0.7913174436886774,-2.84897579399843,-2.676461629207124,-1.400216007531312,1.989512303804963,2.449866487780303,1.735646276702398,0.29931466983762267,finisher,0.11126512096774194,0,47,0.5582210496828385,CF-A03-rare030,0.4137767000065651,1504.0,160.0,5.0,160.0,1504.0,47.0,10080.0,4096.0,8.0,4096.0,160.0,47.0,1504.0,13440.0,1504.0
0.0,qld-sharp-deleted-t1,CF-A03-rare030/concentrated,0.22082967424264624,0.42201394609432313,0.10132998920728231,0.03575185531159925,separated-unequal-rare,0.1849785775633685,0.08621450027170495,0.9183374938866791,0.0,concentrated,0.20921875000000004,0.0,31.0,-0.8745861826505783,-2.9784334506167944,-2.801444494566497,-1.5088172453522761,2.0085502682110374,2.530451690897843,1.7852188885759932,0.08169850430034868,finisher,0.0831023185483871,0,50,0.5049677301468722,CF-A03-rare030,0.417158099997323,1600.0,192.0,6.0,192.0,1600.0,50.0,16128.0,4608.0,9.0,4608.0,256.0,50.0,1600.0,13440.0,1600.0
0.0,qld-sharp-deleted-t1,CF-A03-rare030/concentrated,0.22151157264629476,0.25140971310995935,0.06993884763890446,0.03695267965492506,separated-unequal-rare,0.223266840775884,0.12245642893383622,0.9397089125031021,0.0,concentrated,0.19046875,0.0,31.0,-1.0779571204763063,-3.1336430172765652,-2.933227238913484,-1.690423872767448,1.785139333224382,2.4939658465580017,1.7334225241312342,0.36565025872213985,finisher,0.07113155241935484,0,60,0.3878326830918027,CF-A03-rare030,0.4225694999913685,1920.0,224.0,7.0,224.0,1920.0,60.0,36288.0,5120.0,10.0,5120.0,576.0,60.0,1920.0,13440.0,1920.0
