K,d,tau_regime,eig_index,real,imag,eta_star,truth_residual,generator_kernel_pairs,generator_wall_seconds
4,2,sigma,35,-0.31958208640219754,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,36,-0.12268774246220221,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,37,-0.2874102812264944,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,38,-0.2604249458769525,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,39,-0.14754037661589423,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,40,-0.16095101804610576,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,41,-0.24597911659361293,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,42,-0.2379137892804359,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,43,-0.18051935129877103,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,44,-0.1856395129816211,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,45,-0.19976653332508368,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,46,-0.2100317233565142,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,sigma,47,-0.2146106497761707,0.0,2.0321040394531176,0.0,110592,0.006102085113525391
4,2,L,0,-0.8374699802275398,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,1,-0.7486012972912023,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,2,-0.527896399788165,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,3,-0.40964568621447284,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,4,-0.35962788467405976,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,5,-0.2235202516818572,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,6,-0.13871112673461758,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,7,-0.10104377010559587,0.007901718563666657,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,8,-0.10104377010559587,-0.007901718563666657,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,9,-0.07996370407470749,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,10,-0.055052955363482356,0.029525323054145732,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,11,-0.055052955363482356,-0.029525323054145732,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,12,-0.029767117037661578,0.030301743287118554,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,13,-0.029767117037661578,-0.030301743287118554,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,14,-0.0489183575803498,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,15,-0.042309005937416336,0.006544777152550294,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,16,-0.042309005937416336,-0.006544777152550294,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,17,-0.038495459261916595,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,18,-0.0341503700258795,0.009319398565254057,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,19,-0.0341503700258795,-0.009319398565254057,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,20,-0.018818348977012414,0.017947206798585788,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,21,-0.018818348977012414,-0.017947206798585788,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,22,-0.03170729281889251,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,23,-0.0196337058590819,0.0098199053835815,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,24,-0.0196337058590819,-0.0098199053835815,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,25,-0.021576155242945184,0.005060568776742355,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,26,-0.021576155242945184,-0.005060568776742355,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,27,-0.02228020539728181,0.0011333936925212319,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,28,-0.02228020539728181,-0.0011333936925212319,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,29,-0.018522415197981822,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,30,-0.015869648653031705,0.0004210775670654258,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,31,-0.015869648653031705,-0.0004210775670654258,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,32,-0.011723781298985717,0.005171986367674716,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,33,-0.011723781298985717,-0.005171986367674716,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,34,-0.011014605839209267,0.0046658160460029225,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,35,-0.011014605839209267,-0.0046658160460029225,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,36,-0.0016582305493932632,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,37,-0.002048761602399863,0.0,2.388145303377444,0.0,110592,0.0059452056884765625
4,2,L,38,-0.005008205792435246,0.0016430972775084574,2.388145303377444,0.0,110592,0.0059452056884765625
