K,d,tau_regime,arm,seed,eta,eta_over_tau,eta_star,final_ED2,coverage,mass_error,event_time,censored,diverged,kernel_pairs,wall_seconds
4,2,sigma,0.25-eta-star,1,0.5080260098632794,3.3868400657551962,2.0321040394531176,0.0042529478385567865,1.0,0.0,2,0,0,211200,0.158477783203125
4,2,sigma,0.5-eta-star,0,1.0160520197265588,6.7736801315103925,2.0321040394531176,0.016811601151166755,1.0,0.1666666666666667,1,0,0,211200,0.1619863510131836
4,2,sigma,0.5-eta-star,1,1.0160520197265588,6.7736801315103925,2.0321040394531176,0.004705780838273443,1.0,0.0,1,0,0,211200,0.1633930206298828
4,2,sigma,eta-star-boundary,0,2.0321040394531176,13.547360263020785,2.0321040394531176,0.015934797398599265,1.0,0.16666666666666663,1,0,0,211200,0.16309404373168945
4,2,sigma,eta-star-boundary,1,2.0321040394531176,13.547360263020785,2.0321040394531176,0.035275267170429614,1.0,0.25,8,0,0,211200,0.16195917129516602
4,2,L,fixed-0.1tau,0,0.1,0.1,2.388145303377444,0.02213085432388162,1.0,0.16666666666666669,4,0,0,211200,0.1624622344970703
4,2,L,fixed-0.1tau,1,0.1,0.1,2.388145303377444,0.01569565090501468,1.0,0.08333333333333334,20,0,0,211200,0.1619565486907959
4,2,L,fixed-0.5tau,0,0.5,0.5,2.388145303377444,0.012210189756062584,1.0,0.0,1,0,0,211200,0.16618895530700684
4,2,L,fixed-0.5tau,1,0.5,0.5,2.388145303377444,0.009157274922066305,1.0,0.08333333333333334,4,0,0,211200,0.16266918182373047
4,2,L,fixed-1.0tau,0,1.0,1.0,2.388145303377444,0.01703263072740413,1.0,0.0,1,0,0,211200,0.1587691307067871
4,2,L,fixed-1.0tau,1,1.0,1.0,2.388145303377444,0.014145376664083553,1.0,0.0,2,0,0,211200,0.15610933303833008
4,2,L,0.1-eta-star,0,0.23881453033774439,0.23881453033774439,2.388145303377444,0.014482158683937207,1.0,0.08333333333333334,2,0,0,211200,0.16116714477539062
4,2,L,0.1-eta-star,1,0.23881453033774439,0.23881453033774439,2.388145303377444,0.008893534898797073,1.0,0.08333333333333334,8,0,0,211200,0.16422557830810547
4,2,L,0.25-eta-star,0,0.597036325844361,0.597036325844361,2.388145303377444,0.012286305894201432,1.0,0.0,1,0,0,211200,0.16471314430236816
4,2,L,0.25-eta-star,1,0.597036325844361,0.597036325844361,2.388145303377444,0.009942176092609167,1.0,0.08333333333333334,3,0,0,211200,0.16461801528930664
4,2,L,0.5-eta-star,0,1.194072651688722,1.194072651688722,2.388145303377444,0.020985000383784924,1.0,0.0,1,0,0,211200,0.16471219062805176
4,2,L,0.5-eta-star,1,1.194072651688722,1.194072651688722,2.388145303377444,0.016864819820382793,1.0,0.0,2,0,0,211200,0.1577744483947754
4,2,L,eta-star-boundary,0,2.388145303377444,2.388145303377444,2.388145303377444,0.14228607151646278,1.0,0.25,1,0,0,211200,0.1627826690673828
4,2,L,eta-star-boundary,1,2.388145303377444,2.388145303377444,2.388145303377444,0.16738176559288298,1.0,0.25,4,0,0,211200,0.16571998596191406
