arm,kind,tau,target,family,init,cell,seed,planned_steps,completed_steps,wall_seconds,generator_forward_calls,training_generator_example_evals,controller_probe_evals,event_probe_evals,generator_example_evals,unique_training_latents,backward_example_evals,training_target_samples,atlas_samples,diagnostic_target_samples,target_table_lookups,total_new_target_samples,kernel_pairs,sort_work,global_updates,virtual_batch_total,resolution_cap_hits,controller_checks,controller_transitions,controller_state_counts,atlas_region_count,atlas_unresolved,min_atlas_mass,fixed_diagnostic_route,ed2,sw1,weighted_reach,mass_l1,atlas_mass_l1,event_time,censored,diverged
fixed-lbqcd,fixed,0.5,OASQD-D15-connected-normal,connected,concentrated,OASQD-D15-connected-normal/concentrated,0,40,40,0.00958589999936521,40,1280,0,256,1536,1280,1280,1280,0,4096,0,5376,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.035904686584033785,0.2575991162305919,1.0,0.0,nan,1,0,0
oa-once-full-H25-P10-N2048-K8,oa-full,0.5,OASQD-D15-connected-normal,connected,concentrated,OASQD-D15-connected-normal/concentrated,0,40,40,0.018581899988930672,40,1280,4096,256,5632,1280,1280,1280,2048,0,0,3328,24576,8960.0,0,0,0,2,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 40}",1,1,1.0,0,0.035904686584033785,0.2575991162305919,1.0,0.0,0.0,1,0,0
oa-once-strat-H25-P10-N2048-K8,oa-stratified,0.5,OASQD-D15-connected-normal,connected,concentrated,OASQD-D15-connected-normal/concentrated,0,40,40,0.017977400013478473,40,1280,4096,256,5632,1280,1280,1280,2048,0,0,3328,24576,8960.0,0,0,0,2,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 40}",1,1,1.0,0,0.035904686584033785,0.2575991162305919,1.0,0.0,0.0,1,0,0
paper-0.5,paper,0.5,OASQD-D15-connected-normal,connected,concentrated,OASQD-D15-connected-normal/concentrated,0,40,40,0.011299700010567904,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,81920,0.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.029998339752834058,0.19412314560733857,1.0,0.0,nan,1,0,0
qld-v1,qld,0.5,OASQD-D15-connected-normal,connected,concentrated,OASQD-D15-connected-normal/concentrated,0,40,40,0.009270999988075346,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.035904686584033785,0.2575991162305919,1.0,0.0,nan,1,0,0
fixed-lbqcd,fixed,0.5,OASQD-D15-connected-normal,connected,missing,OASQD-D15-connected-normal/missing,0,40,40,0.010371400014264509,40,1280,0,256,1536,1280,1280,1280,0,4096,0,5376,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.008738025674216887,0.15539114438927165,1.0,0.0,nan,1,0,0
oa-once-full-H25-P10-N2048-K8,oa-full,0.5,OASQD-D15-connected-normal,connected,missing,OASQD-D15-connected-normal/missing,0,40,40,0.02009970002109185,40,1280,4096,256,5632,1280,1280,1280,2048,0,0,3328,24576,8960.0,0,0,0,2,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 40}",1,0,1.0,0,0.008738025674216887,0.15539114438927165,1.0,0.0,0.0,1,0,0
oa-once-strat-H25-P10-N2048-K8,oa-stratified,0.5,OASQD-D15-connected-normal,connected,missing,OASQD-D15-connected-normal/missing,0,40,40,0.019216699991375208,40,1280,4096,256,5632,1280,1280,1280,2048,0,0,3328,24576,8960.0,0,0,0,2,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 40}",1,0,1.0,0,0.008738025674216887,0.15539114438927165,1.0,0.0,0.0,1,0,0
paper-0.5,paper,0.5,OASQD-D15-connected-normal,connected,missing,OASQD-D15-connected-normal/missing,0,40,40,0.01042600002256222,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,81920,0.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.007620273085866325,0.14143427728759084,1.0,0.0,nan,1,0,0
qld-v1,qld,0.5,OASQD-D15-connected-normal,connected,missing,OASQD-D15-connected-normal/missing,0,40,40,0.00854010001057759,40,1280,0,256,1536,1280,1280,1280,0,0,0,1280,24576,8960.0,0,0,0,0,0,"{""armed"": 0, ""cooldown"": 0, ""global"": 0, ""local"": 0}",0,0,nan,0,0.008738025674216887,0.15539114438927165,1.0,0.0,nan,1,0,0
