K,d,arm,comparison,seed,steps,final_ED2,coverage,mass_error,event_time,censored,kernel_pairs,wall_seconds,L_est,sigma_est,best_tau
8,2,anneal-oracle-joint,joint policy,1,80,0.01848872296078885,1.0,0.21875,16,0,655360,0.1583576202392578,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,anneal-estimated-joint,joint policy,0,80,0.016738453564491662,0.875,0.25,1,0,655360,0.1630542278289795,0.9872945114841596,0.14976980408150603,0.34592146172399046
8,2,anneal-estimated-joint,joint policy,1,80,0.01849663935588408,1.0,0.21875,16,0,655360,0.16417670249938965,0.9872945114841596,0.14976980408150603,0.34592146172399046
4,5,fine-common,bandwidth-only,0,80,0.017258635971056813,1.0,0.0625,34,0,245760,0.21940088272094727,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,fine-common,bandwidth-only,1,80,0.02651905343327421,1.0,0.1875,32,0,245760,0.22207236289978027,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,coarse-common,bandwidth-only,0,80,0.05382341582363148,1.0,0.0625,80,1,245760,0.21815204620361328,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,coarse-common,bandwidth-only,1,80,0.05280044282141594,1.0,0.125,80,1,245760,0.2268214225769043,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,average-common,bandwidth-only/equal-compute,0,40,0.05040229011122177,1.0,0.0625,40,1,245760,0.1182105541229248,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,average-common,bandwidth-only/equal-compute,1,40,0.04818220806225382,1.0,0.1875,40,0,245760,0.12042880058288574,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,paper-fixed-common,bandwidth-only/equal-compute,0,26,0.06495454790176369,1.0,0.0625,26,1,239616,0.08436846733093262,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,paper-fixed-common,bandwidth-only/equal-compute,1,26,0.07320229294425529,1.0,0.1875,26,1,239616,0.08451485633850098,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,anneal-oracle-common,bandwidth-only,0,80,0.01793210112511856,1.0,0.125,34,0,245760,0.21973276138305664,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,anneal-oracle-common,bandwidth-only,1,80,0.021971352560626434,1.0,0.125,33,0,245760,0.22191309928894043,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,anneal-estimated-common,bandwidth-only,0,80,0.017925090029848212,1.0,0.125,34,0,245760,0.22551488876342773,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,anneal-estimated-common,bandwidth-only,1,80,0.021960793087048014,1.0,0.125,33,0,245760,0.22332239151000977,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,oracle-grid-common,held-out oracle,0,80,0.012573713240093931,1.0,0.125,31,0,245760,0.22018885612487793,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,oracle-grid-common,held-out oracle,1,80,0.013400064469698991,1.0,0.125,30,0,245760,0.21843600273132324,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,fine-joint,joint policy,0,80,0.2024104095889787,1.0,0.0625,80,1,245760,0.21909856796264648,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,fine-joint,joint policy,1,80,0.21323077510425947,1.0,0.1875,80,1,245760,0.22574949264526367,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,coarse-joint,joint policy,0,80,0.02210639017253002,1.0,0.0625,45,0,245760,0.2270643711090088,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,coarse-joint,joint policy,1,80,0.023157184265488517,1.0,0.125,42,0,245760,0.22158384323120117,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,anneal-oracle-joint,joint policy,0,80,0.024984802778898363,1.0,0.125,40,0,245760,0.2209153175354004,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,anneal-oracle-joint,joint policy,1,80,0.025301444027836517,1.0,0.125,37,0,245760,0.22263598442077637,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,anneal-estimated-joint,joint policy,0,80,0.02491966308947946,1.0,0.125,40,0,245760,0.2279496192932129,0.9972631025089063,0.1507304480171791,0.34592146172399046
4,5,anneal-estimated-joint,joint policy,1,80,0.025251381772760872,1.0,0.125,37,0,245760,0.2207198143005371,0.9972631025089063,0.1507304480171791,0.34592146172399046
