arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021710571203088946,0.10515159584011391,0.13641650874659997,0.9992228150367737,2.5680256008084026,1.0,0.0224609375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,189739325,16,8,0,5,0,68608,0,0.14735149999614805,0.0,0.0,0.0,0.0,0.1938877899199724
cta-kll-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021552641203875567,0.10480806240335426,0.1359271848835049,0.9991640448570251,2.5704199602269546,1.0,0.02734375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,189739325,16,8,0,5,0,68608,98048,0.14516509999521077,0.0,0.0,0.0,0.0,0.19394225031137466
cta-exact-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.5561757015747395,2.5704038406153518,0.020216744571245115,0.10160295407495323,0.1321890571331983,0.9997186064720154,2.5809755022377723,1.0,0.0126953125,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,189739325,16,8,5,5,2621440,68608,0,0.16964369999914197,0.0625,0.0,0.25,0.46521043599871864,0.19974183924496175
cta-kll-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.5561757015747395,2.5704038406153518,0.020083849339748383,0.10116258562941291,0.1317350653747142,0.9989196062088013,2.5836034551997917,1.0,0.01953125,nan,160,10240,20480,320,20480,23040,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,189739325,16,8,5,5,2621440,68608,98048,0.16321510000125272,0.0625,0.0,0.25,0.4646077877952573,0.19973458983004094
cta-kll-guarded,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.5561757015747395,2.5704038406153518,0.020083849339748383,0.10116258562941291,0.1317350653747142,0.9989196062088013,2.5836034551997917,1.0,0.01953125,nan,160,10240,20480,320,20480,23040,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,189739325,16,8,5,5,2621440,68608,98048,0.17551309999544173,0.0625,0.0,0.25,0.4646077877952573,0.19973458983004094
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.7834038959718805,2.2429019074336867,0.004845245625992423,0.05560205779344007,0.10994918485558831,1.0209500789642334,2.8278051551108345,1.0,0.03378906249999995,0.016894531249999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,0,5,0,68608,0,0.15924209999502636,0.0,0.0,0.0,0.0,0.21398065090179444
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.7834038959718805,2.2429019074336867,0.006439090753375343,0.06537153315621425,0.1176572221542456,1.0172994136810303,2.865130839757554,1.0,0.03574218749999995,0.017871093749999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,0,5,0,68608,98048,0.15251569999963976,0.0,0.0,0.0,0.0,0.2169051207602024
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.7834038959718805,2.2429019074336867,0.008112780679497167,0.06955575010608989,0.12005386918032449,1.0239613056182861,2.8570229250526076,1.0,0.03769531249999995,0.018847656249999997,160,10240,20480,320,20480,23040,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,5,5,2621440,68608,0,0.15832229999796255,0.0625,0.0,0.25,0.8773422410389966,0.21953928656876087
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.7834038959718805,2.2429019074336867,0.006058781743433439,0.06157118196463533,0.12035141293518312,1.0109889507293701,2.861368137607322,1.0,0.030859374999999953,0.015429687499999997,160,10240,20480,320,20480,23040,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,5,5,2621440,68608,98048,0.16089279999869177,0.0625,0.0,0.25,0.8897744707747689,0.220645534992218
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,5,64,64,10,10,1.7834038959718805,2.2429019074336867,0.008799297249407534,0.07290581029699443,0.1283756809663954,1.0112683773040771,2.968596032001056,1.0,0.030859374999999953,0.015429687499999997,160,10240,20480,320,20480,23040,3604480,1310720,2293760,5898240.0,0.0,5898240.0,64,32,32,32.0,10,10,1730137501,16,8,5,5,2621440,68608,98048,0.1827491000003647,0.05,0.0,0.2,0.8929075301473102,0.2192005891352892
