arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_representative_strategy,registered_representative_tail_reserve_fraction,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_strategy,representative_tail_reserve_fraction,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,mean_representative_unique_split_direction_count,maximum_representative_tail_reserve_count,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,4,2026072201,1.0,0.15,0.01374559999385383,0.0003085999996983446,0.005565699997532647,0.01961989999108482,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06435981513856026,0.21073600167074422,0.5023586763972602,0.7057849168777466,3.3840383188853687,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,35328,0,0.01374559999385383,0.0,0.0,0.0,0.0,0.7585066854953766
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,5,2026072201,1.0,0.15,0.014296600005764049,0.0003085999996983446,0.006310500000836328,0.02091570000629872,64,64,10,10,1.7834038959718805,2.2429019074336867,0.06438513833990944,0.2099926738296422,0.5020585745672577,0.7078498601913452,3.355220110012378,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,35328,72960,0.014296600005764049,0.0,0.0,0.0,0.0,0.7594008147716522
cta-exact-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.014861499999824446,0.00031670000316808,0.005401700000220444,0.02057990000321297,64,64,36,36,0.3208946893756642,8.81419112995982,0.06683639087655457,0.16145863734203897,0.2762299344713453,0.7781354188919067,5.976924615400342,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,37376,0,0.014861499999824446,0.0,0.0,0.0,0.0,0.987597644329071
paper-neural-optimized,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.05071709999901941,0.0,0.0,0.05071709999901941,64,64,36,36,0.3208946893756642,8.81419112995982,0.0849510027729039,0.1909985789057657,0.3205669220531501,0.7121342420578003,3.4618487804765863,nan,nan,nan,32,2048,2048,32,2048,2048,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.05071709999901941,0.0,0.0,0.0,0.0,0.0
cta-kll-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.055920300001162104,0.00031670000316808,0.00637309999729041,0.0626101000016206,64,64,36,36,0.3208946893756642,8.81419112995982,0.06705308788592212,0.16047991766654918,0.265015826993152,0.8119344115257263,5.784793677702984,nan,nan,nan,16,1024,2048,32,2048,3072,229376,131072,98304,380928.0,0.0,380928.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,16384,1,524288,0.19901983439922333,0.9826261401176453,0.025520414113998413,0.06859230250120163,0.026123030111193657,14.42361831665039,1.280368447303772,6.630045413970947,0.32318709045648575,1.1689871549606323,4,4,26.75,0,37376,72960,0.055920300001162104,0.25,0.25,0.25,47.87301940105045,1.092820554971695
cta-kll-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,3,2026072201,1.0,0.15,0.021786699995573144,0.00031670000316808,0.00637309999729041,0.028476499996031635,64,64,36,36,0.3208946893756642,8.81419112995982,0.06549815824966743,0.15960985586683504,0.27241588146244844,0.7852668762207031,5.96787798232327,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,37376,72960,0.021786699995573144,0.0,0.0,0.0,0.0,0.9944552183151245
cta-kll-guarded,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,4,2026072201,1.0,0.15,0.05982909999875119,0.00031670000316808,0.00637309999729041,0.06651889999920968,64,64,36,36,0.3208946893756642,8.81419112995982,0.06705308788592212,0.16047991766654918,0.265015826993152,0.8119344115257263,5.784793677702984,nan,nan,nan,16,1024,2048,32,2048,3072,425984,131072,294912,675840.0,0.0,675840.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,16384,1,524288,0.19901983439922333,0.9826261401176453,0.025520414113998413,0.06859230250120163,0.026123030111193657,14.42361831665039,1.280368447303772,6.630045413970947,0.32318709045648575,1.1689871549606323,4,4,26.75,0,37376,72960,0.05982909999875119,0.25,0.25,0.25,47.87301940105045,1.092820554971695
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,5,2026072201,1.0,0.15,0.07833430000027874,0.00031670000316808,0.005401700000220444,0.08405270000366727,64,64,36,36,0.3208946893756642,8.81419112995982,0.0674073916124538,0.16091042172785663,0.26776268385304813,0.8046989440917969,5.745098886860756,nan,nan,nan,16,1024,2048,32,2048,3072,229376,131072,98304,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,16384,1,524288,0.19901983439922333,0.9826261401176453,0.025520414113998413,0.06859230250120163,0.026123030111193657,14.42361831665039,1.280368447303772,6.630045413970947,0.3160933628678322,1.1045235395431519,4,4,26.25,0,37376,0,0.07833430000027874,0.25,0.25,0.25,47.500084265769814,1.0905449986457825
cta-kll-hybrid,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,0,2026072201,1.0,0.15,0.05785120000655297,0.017309599999862257,0.017002900000079535,0.09216370000649476,64,192,136,136,0.18133241385215962,19.103598422078235,0.07497342227467119,0.14515669997711025,0.24077991485360842,0.8545945882797241,8.895692676575022,nan,nan,nan,16,1024,2048,32,2048,3072,491520,393216,98304,380928.0,0.0,380928.0,192,32,32,32.0,0,1,680165851,12,2,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,32768,1,524288,0.4226010739803314,0.9984101057052612,0.051010653376579285,0.05610572546720505,0.053961124271154404,205.809814453125,2.347807288169861,7.593757629394531,0.65183275192976,2.0397555828094482,4,4,28.0,0,123392,218880,0.05785120000655297,0.25,0.25,0.25,21.052836994731564,1.4894206523895264
cta-exact-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,1,2026072201,1.0,0.15,0.014636199994129129,0.017309599999862257,0.015451800005394034,0.04739759999938542,64,192,136,136,0.18133241385215962,19.103598422078235,0.08887023304067565,0.15110729830074524,0.24832470133268997,0.8422200083732605,9.032258281322868,nan,nan,nan,16,1024,2048,32,2048,2048,425984,393216,32768,4620288.0,4325376.0,294912.0,192,32,32,32.0,0,1,680165851,12,2,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,123392,0,0.014636199994129129,0.0,0.0,0.0,0.0,1.3960473239421844
cta-kll-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,2,2026072201,1.0,0.15,0.014158199999656063,0.017309599999862257,0.017002900000079535,0.048470699999597855,64,192,136,136,0.18133241385215962,19.103598422078235,0.08856232648632112,0.15181188940357723,0.24801679346650451,0.8435145020484924,9.031778531195547,nan,nan,nan,16,1024,2048,32,2048,2048,425984,393216,32768,294912.0,0.0,294912.0,192,32,32,32.0,0,1,680165851,12,2,0,0,0,0,128,variance-per-node,0.0625,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,123392,218880,0.014158199999656063,0.0,0.0,0.0,0.0,1.3985548615455627
cta-kll-guarded,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,3,2026072201,1.0,0.15,0.06763520000095014,0.017309599999862257,0.017002900000079535,0.10194770000089193,64,192,136,136,0.18133241385215962,19.103598422078235,0.07456149031130455,0.14178803084211444,0.24216738196858528,0.8547264337539673,9.054371955202972,nan,nan,nan,16,1024,2048,32,2048,3072,688128,393216,294912,675840.0,0.0,675840.0,192,32,32,32.0,0,1,680165851,12,2,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,32768,1,524288,0.4226010739803314,0.9984101057052612,0.051010653376579285,0.05610572546720505,0.053961124271154404,205.809814453125,2.347807288169861,7.593757629394531,0.6425217315554619,1.9005063772201538,4,4,27.5,0,123392,218880,0.06763520000095014,0.125,0.0,0.125,19.82468698958117,1.4312664568424225
paper-neural-optimized,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,4,2026072201,1.0,0.15,0.03269729999738047,0.0,0.0,0.03269729999738047,64,192,136,136,0.18133241385215962,19.103598422078235,0.25908726360236844,0.27321603037155395,0.42013224481717365,0.6129289269447327,3.7665716109251295,nan,nan,nan,32,2048,2048,32,2048,2048,0,0,0,0.0,0.0,0.0,192,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,dense,0.0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0.03269729999738047,0.0,0.0,0.0,0.0,0.0
cta-exact-hybrid,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,1,variance-per-node,0.0625,5,2026072201,1.0,0.15,0.07782249999581836,0.017309599999862257,0.015451800005394034,0.11058390000107465,64,192,136,136,0.18133241385215962,19.103598422078235,0.07308395931118117,0.1422593288545868,0.2395514225880734,0.8524156212806702,8.91374962894237,nan,nan,nan,16,1024,2048,32,2048,3072,491520,393216,98304,4706304.0,4325376.0,380928.0,192,32,32,32.0,0,1,680165851,12,2,2,2,262144,1048576,128,variance-per-node,0.0625,7,65536,86016.0,32768,1,524288,0.4226010739803314,0.9984101057052612,0.051010653376579285,0.05610572546720505,0.053961124271154404,205.809814453125,2.347807288169861,7.593757629394531,0.6496097967028618,1.994373083114624,4,4,27.75,0,123392,0,0.07782249999581836,0.25,0.25,0.25,21.028330880415037,1.4895012974739075
