arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.006979015961146029,0.06630176499932086,0.11668143408664693,1.0259394645690918,2.7787953294811034,1.0,0.04257812499999995,0.021289062499999997,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,68608,0,0.435014400005457,0.25,0.25,4.623646370840559,0.24234468974173068
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.007366865112067966,0.0675258956316171,0.11811097234090678,1.027208924293518,2.807091925291676,1.0,0.04160156249999995,0.020800781249999997,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0.4340186999979778,0.25,0.25,4.585124771030346,0.24054148942232131
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.7834038959718805,2.2429019074336867,0.007366865112067966,0.0675258956316171,0.11811097234090678,1.027208924293518,2.807091925291676,1.0,0.04160156249999995,0.020800781249999997,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,68608,98048,0.533107099996414,0.25,0.25,4.585124771030346,0.24054148942232131
cta-exact-global,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.6114097194634855,2.4822985437445357,0.007546550594092594,0.0671914237627586,0.11900919779097172,0.9295126795768738,1.8526199227832527,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0.17450799999642186,0.0,0.0,0.0,0.20707145817577838
cta-kll-global,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.6114097194634855,2.4822985437445357,0.008996128055184016,0.07334265612535537,0.12125318051734728,0.9410799145698547,1.8387234299141766,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0.17891479999525473,0.0,0.0,0.0,0.21329615861177445
cta-exact-hybrid,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.6114097194634855,2.4822985437445357,0.010259674217146575,0.07563551120861221,0.12102901122218368,0.9637501835823059,1.6764696541194664,nan,nan,nan,160,10240,20480,320,20480,30720,2621440,24670277.592530765,10485760,68608,0,0.45494630000030156,0.25,0.25,9.028061264682309,0.22669482417404652
cta-kll-hybrid,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.6114097194634855,2.4822985437445357,0.010720017268253557,0.07758397668026441,0.12138760533408917,0.977088987827301,1.695589185027422,nan,nan,nan,160,10240,20480,320,20480,30720,2621440,5898240.0,10485760,68608,98048,0.4734043999997084,0.25,0.25,9.209883357236325,0.23335724286735057
cta-kll-guarded,NPR-d4-correlated-t,correlated-t,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.6114097194634855,2.4822985437445357,0.010720017268253557,0.07758397668026441,0.12138760533408917,0.977088987827301,1.695589185027422,nan,nan,nan,160,10240,20480,320,20480,30720,6553600,11796480.0,10485760,68608,98048,0.5360059999948135,0.25,0.25,9.209883357236325,0.23335724286735057
cta-exact-global,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.624482796269459,2.4623221675143587,0.013019923656562682,0.0895514995905246,0.164022102020334,0.9018698930740356,2.9805094570755246,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,24670277.592530765,0,68608,0,0.1745301999981166,0.0,0.0,0.0,0.21562590189278125
cta-kll-global,NPR-d4-nonlinear,nonlinear,4,0,concentrated,0.016,0.5,0.25,64,64,10,10,1.624482796269459,2.4623221675143587,0.011818054338593065,0.08345173542625084,0.15207752306109484,0.9205424189567566,2.944909679620664,nan,nan,nan,160,10240,20480,320,20480,20480,2621440,5898240.0,0,68608,98048,0.1792176000017207,0.0,0.0,0.0,0.21634006090462207
