arm,kind,rho,local_kind,metric,quantile_weight,endpoint_ed2,endpoint_sw1,endpoint_coverage,endpoint_mass_l1,selected_ed2,selected_sw1,selected_coverage,selected_mass_l1,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,median_correction_metric_norm,p90_correction_metric_norm,median_gradient_cosine,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
qgd-sharp-r0.10,guarded,0.1,sharp,adam,0.0,0.029908747169729466,0.3793317044268442,0.9750000000000001,0.26906250000000004,0.04576341072706569,0.4584165349717426,0.9750000000000001,0.28468750000000004,52,0,0.2777777777777778,0.0,0.1111111111111111,0.0,0,0.0,0.03045979402023936,0.8601709551829007,-0.006528720548351054,-0.002138920102317637,"{""local"": 2, ""none"": 13, ""quantile"": 3}",60.0,2706.0,86592.0,43584.0,36288.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,concentrated,QGD-D02-unequal-K9/concentrated,0,1,1.375,8,285.0311917108794,0.8676424000004772
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.15141962403023612,0.6848550089586064,0.79,0.4940625,0.16171503426455835,0.7200222843087712,0.79,0.5096875,57,0,0.0,0.0,0.0,0.0,0,0.003233373527389066,0.004352911757586744,0.819440973706608,nan,nan,"{""fixed-mix"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.42898349999450147
lbqcd,paper,0.0,paper,adam,0.0,0.15314018142850516,0.6896876893232883,0.79,0.49015625,0.16294130565773557,0.7229224951039046,0.79,0.501875,57,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.24295859999256209
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.13067013810068673,0.6168406421694576,0.79,0.5253125,0.1443600565458203,0.6632866678790211,0.79,0.52921875,57,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,30720.0,861120.0,43584.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.3343647999863606
qgd-paper-r0.05,guarded,0.05,paper,adam,0.0,0.15232785115020198,0.6886694512065651,0.79,0.4940625,0.16255877346922398,0.7218473304229399,0.79,0.501875,57,0,0.11111111111111116,0.0,0.0,0.0,0,0.0,0.003334007411479168,0.8317410682440295,-0.014561076950260179,-0.0016886042717594663,"{""local"": 1, ""none"": 16, ""quantile"": 1}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.5375317999860272
qgd-paper-r0.10,guarded,0.1,paper,adam,0.0,0.15228455754363734,0.6887091222867114,0.79,0.4940625,0.16255877346922398,0.7218473304229399,0.79,0.501875,57,0,0.11111111111111116,0.0,0.0,0.0,0,0.0,0.003334007411479168,0.8313347012932055,-0.014561076950260179,-0.0016886042717594663,"{""local"": 1, ""none"": 16, ""quantile"": 1}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.6405616999836639
qgd-paper-r0.20,guarded,0.2,paper,adam,0.0,0.15121818762272943,0.6859379682251485,0.79,0.4940625,0.16208884201241958,0.7202323727273142,0.79,0.50578125,57,0,0.2222222222222222,0.0,0.0,0.0,0,0.0,0.01123492234560264,0.8280030310460291,-0.015869932448623645,-0.001689471107945597,"{""local"": 1, ""none"": 14, ""quantile"": 3}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.7503654999891296
qgd-sharp-r0.10,guarded,0.1,sharp,adam,0.0,0.17426599472864446,0.6978487832465189,0.6900000000000001,0.47546875,0.19805670535603337,0.8059974103347397,0.79,0.50734375,52,0,0.5,0.0,0.0,0.0,0,0.0043674680923082645,0.06646449737433288,0.25425628072311296,-0.007543001067605646,-0.006620893086242203,"{""local"": 1, ""none"": 9, ""quantile"": 6, ""quantile+local"": 2}",60.0,2706.0,86592.0,43584.0,36288.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D02-unequal-K9,unequal,missing,QGD-D02-unequal-K9/missing,0,1,0.9375,8,309.30971544635565,0.8607332999818027
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.04735749993709604,0.3665660357167985,1.0,0.2766335227272727,0.04100954426645842,0.34211365990976833,0.8181818181818182,0.3529829545454546,47,0,0.0,0.0,0.0,0.0,0,0.003635605635466484,0.004848601184152989,0.856985130787109,nan,nan,"{""fixed-mix"": 18}",60.0,2706.0,86592.0,43584.0,36864.0,865920.0,44160.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D03-equal-K11,equal-high-mode-count,concentrated,QGD-D03-equal-K11/concentrated,0,1,2.1875,10,179.2304245744904,0.4384450000070501
lbqcd,paper,0.0,paper,adam,0.0,0.04984562317736563,0.37655328108979563,1.0,0.3117897727272727,0.03458081814543723,0.3012736452038484,0.8181818181818182,0.5678267045454546,42,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,{},60.0,2706.0,86592.0,43584.0,36864.0,860160.0,43584.0,1024,16.0,5632.0,5632.0,2.0,1024.0,1024.0,QGD-D03-equal-K11,equal-high-mode-count,concentrated,QGD-D03-equal-K11/concentrated,0,1,2.1875,10,179.2304245744904,0.24342350001097657
