arm,kind,rho,local_kind,metric,quantile_weight,endpoint_ed2,endpoint_sw1,endpoint_w2,endpoint_coverage,endpoint_mass_l1,endpoint_worst_mode_error,selected_ed2,selected_sw1,selected_w2,selected_coverage,selected_mass_l1,selected_worst_mode_error,handoff_ed2,handoff_sw1,handoff_w2,handoff_coverage,handoff_mass_l1,handoff_worst_mode_error,selected_ed2_change_from_handoff,selected_sw1_change_from_handoff,endpoint_ed2_change_from_handoff,endpoint_sw1_change_from_handoff,coverage_event_time,coverage_event_censored,selected_step,diverged,projection_active_fraction,trust_fraction,safe_quantile_fraction,incompatible_fraction,singular_candidates,median_correction_metric_norm,p90_correction_metric_norm,median_gradient_cosine,median_proposal_cosine,median_quantile_directional_derivative,median_local_directional_derivative,active_set_counts,work_optimizer_updates,work_generator_forward_calls,work_generator_example_evals,work_target_samples,work_kernel_pairs,work_sort_work,work_backward_examples,work_diagnostic_target_samples,work_selection_generator_forward_calls,work_selection_generator_example_evals,work_selection_target_samples,work_endpoint_generator_forward_calls,work_endpoint_generator_example_evals,work_endpoint_target_samples,work_checkpoint_storage_bytes,target,family,init,cell,seed,diagnostic_use_large_batch,diagnostic_min_expected_count,diagnostic_gap_count,diagnostic_max_gap_ratio,group_wall_seconds
qgd-paper-r0.05,guarded,0.05,paper,adam,0.0,0.005138936460908905,0.06813321350587741,0.4939270493799034,1.0,0.0,0.0,0.0047869388872823215,0.06470047831317408,0.4916668253465327,1.0,0.0,0.0,0.01633823292192549,0.15147560318442543,0.5011022737847303,1.0,0.0,0.0,-0.011551294034643167,-0.08677512487125136,-0.011199296461016583,-0.08334238967854803,280,0,380,0,0.5833333333333333,0.0,0.31666666666666665,0.0,0,0.001056127507430761,0.005604953006165591,0.931832039535846,0.5447186037894892,-0.00024649487883589456,-3.861325416140818e-05,"{""local"": 5, ""none"": 50, ""quantile"": 61, ""quantile+local"": 4}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,2,0,64.0,0,0.0,22.136078799987445
qgd-paper-r0.10,guarded,0.1,paper,adam,0.0,0.005511813043242331,0.07379622528998028,0.4957903681539863,1.0,0.0,0.0,0.004952908499412878,0.06731927818596603,0.4922426052383358,1.0,0.0,0.0,0.01633823292192549,0.15147560318442543,0.5011022737847303,1.0,0.0,0.0,-0.01138532442251261,-0.0841563249984594,-0.010826419878683158,-0.07767937789444515,280,0,380,0,0.7416666666666667,0.0,0.31666666666666665,0.0,0,0.0020129772687865937,0.010421190508750077,0.9284684708694895,0.603438830384045,-0.0004152873975545959,-6.191412036062318e-05,"{""local"": 2, ""none"": 31, ""quantile"": 83, ""quantile+local"": 4}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,2,0,64.0,0,0.0,27.468234699976165
qgd-paper-r0.20,guarded,0.2,paper,adam,0.0,0.006764775562565939,0.08960411159808207,0.5009210467827273,1.0,0.0,0.0,0.0049054014834717385,0.06292079733596777,0.4863603146848817,1.0,0.0,0.0,0.01633823292192549,0.15147560318442543,0.5011022737847303,1.0,0.0,0.0,-0.01143283143845375,-0.08855480584845767,-0.00957345735935955,-0.06187149158634336,280,0,340,0,0.8083333333333333,0.0,0.31666666666666665,0.0,0,0.005195976386106347,0.02057090303722398,0.9267402846430891,0.6121386484745563,-0.0007854675387624526,-0.00011322216635226529,"{""local"": 1, ""none"": 23, ""quantile"": 93, ""quantile+local"": 3}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,2,0,64.0,0,0.0,32.62509269997827
qgd-sharp-r0.10,guarded,0.1,sharp,adam,0.0,0.006192640480408018,0.08636302150496919,0.5018319602811233,1.0,0.0,0.0,0.00368371946101842,0.05332980233704219,0.49279202082374685,1.0,0.0,0.0,0.01633823292192549,0.15147560318442543,0.5011022737847303,1.0,0.0,0.0,-0.012654513460907069,-0.09814580084738325,-0.01014559244151747,-0.06511258167945624,280,0,330,0,0.6166666666666667,0.0,0.3333333333333333,0.0,0,0.0034858214212177214,0.01733238322874243,0.8387398759907901,0.29670761195636836,-0.0005301568659418457,-0.0003917070480907372,"{""local"": 5, ""none"": 46, ""quantile"": 66, ""quantile+local"": 3}",400.0,400.0,25600.0,25600.0,975360.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,concentrated,QGD-D07-student-t4.2/concentrated,2,0,64.0,0,0.0,37.874898999987636
fixed-mix-q0.10,fixed,0.0,paper,adam,0.1,0.009719968099422216,0.051230086624709924,0.27806054071209285,1.0,0.0,0.0,0.012252981530857188,0.044425777278861274,0.26844507422017244,1.0,0.0,0.0,0.01360846848909536,0.05219333578937466,0.26766107513204823,1.0,0.0,0.0,-0.0013554869582381723,-0.007767558510513389,-0.003888500389673144,-0.0009632491646647395,280,0,390,0,0.0,0.0,0.0,0.0,0,0.0003158401862402846,0.0012101283184175384,0.9582548039286701,0.6459693089426333,nan,nan,"{""fixed-mix"": 120}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,missing,QGD-D07-student-t4.2/missing,0,0,64.0,0,0.0,16.192695300007472
lbqcd,paper,0.0,paper,adam,0.0,0.00933224050694359,0.053106553034397874,0.28023974183018224,1.0,0.0,0.0,0.011999224761258587,0.04316154058399557,0.2691994679130771,1.0,0.0,0.0,0.01360846848909536,0.05219333578937466,0.26766107513204823,1.0,0.0,0.0,-0.0016092437278367733,-0.009031795205379091,-0.00427622798215177,0.0009132172450232109,280,0,390,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},400.0,400.0,25600.0,25600.0,983040.0,215040.0,25600.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,missing,QGD-D07-student-t4.2/missing,0,0,64.0,0,0.0,5.28815510001732
periodic-4p1q,periodic,0.0,paper,adam,0.0,0.014894741586283677,0.05706260592054946,0.26654087676203553,1.0,0.0,0.0,0.014212812048780554,0.052386685592562286,0.2654298124101402,1.0,0.0,0.0,0.01360846848909536,0.05219333578937466,0.26766107513204823,1.0,0.0,0.0,0.0006043435596851943,0.00019334980318762296,0.0012862730971883174,0.004869270131174795,280,0,330,0,0.0,0.0,0.0,0.0,0,nan,nan,nan,nan,nan,nan,{},400.0,400.0,25600.0,25600.0,786432.0,233472.0,25600.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,missing,QGD-D07-student-t4.2/missing,0,0,64.0,0,0.0,10.581312800000887
qgd-paper-r0.05,guarded,0.05,paper,adam,0.0,0.010640346050615479,0.04593741978803553,0.274370350719951,1.0,0.0,0.0,0.012640572506384729,0.04676667957000717,0.2684401354440055,1.0,0.0,0.0,0.01360846848909536,0.05219333578937466,0.26766107513204823,1.0,0.0,0.0,-0.0009678959827106315,-0.005426656219367491,-0.002968122438479881,-0.0062559160013391305,280,0,390,0,0.5333333333333333,0.0,0.25833333333333336,0.0,0,0.0004976607738515543,0.007823760548036856,0.9593688778500885,0.5606677534334779,-0.0003088992983233562,-4.922772002638622e-05,"{""local"": 9, ""none"": 56, ""quantile"": 54, ""quantile+local"": 1}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,missing,QGD-D07-student-t4.2/missing,0,0,64.0,0,0.0,21.95030840000254
qgd-paper-r0.10,guarded,0.1,paper,adam,0.0,0.009998729160016318,0.05013844473535218,0.27727138352938147,1.0,0.0,0.0,0.013731151470433245,0.04876048417670903,0.2666332626840553,1.0,0.0,0.0,0.01360846848909536,0.05219333578937466,0.26766107513204823,1.0,0.0,0.0,0.0001226829813378849,-0.003432851612665634,-0.0036097393290790425,-0.002054891054022484,280,0,380,0,0.725,0.0,0.25833333333333336,0.0,0,0.002686284480331573,0.011101379187746828,0.9644857559164262,0.5323521573707284,-0.000531760614955122,-6.85303279565486e-05,"{""local"": 3, ""none"": 33, ""quantile"": 82, ""quantile+local"": 2}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,missing,QGD-D07-student-t4.2/missing,0,0,64.0,0,0.0,27.397090700018452
qgd-paper-r0.20,guarded,0.2,paper,adam,0.0,0.009669926587053013,0.06334253401125514,0.28297355692615833,1.0,0.0,0.0,0.012702598291296718,0.046595895625282165,0.26785111238966314,1.0,0.0,0.0,0.01360846848909536,0.05219333578937466,0.26766107513204823,1.0,0.0,0.0,-0.0009058701977986416,-0.005597440164092499,-0.003938541902042347,0.011149198221880478,280,0,290,0,0.875,0.0,0.25,0.0,0,0.006773004061690516,0.023297008983786987,0.9628348726135592,0.5284411208429208,-0.0007819748423204933,-0.00010936805551566017,"{""local"": 1, ""none"": 15, ""quantile"": 101, ""quantile+local"": 3}",400.0,400.0,25600.0,25600.0,983040.0,307200.0,33280.0,4096,64.0,77824.0,77824.0,3.0,6144.0,6144.0,369720.0,QGD-D07-student-t4.2,connected-heavy-tail,missing,QGD-D07-student-t4.2/missing,0,0,64.0,0,0.0,32.556850099994335
