arm,cell,seed,ed2,family,init
pow-g1.0,NCJG-gmix-1d-K4-uneq/far,3,0.0216328966030368,gauss_mixture,far
pow-g1.0,NCJG-gmix-1d-K4-uneq/far,4,0.008792377044102295,gauss_mixture,far
pow-g1.0,NCJG-gmix-1d-K4-uneq/far,5,0.007227774652692309,gauss_mixture,far
pow-g1.5,NCJG-gmix-1d-K4-uneq/far,0,0.005262982635751978,gauss_mixture,far
pow-g1.5,NCJG-gmix-1d-K4-uneq/far,1,0.011128220486046114,gauss_mixture,far
pow-g1.5,NCJG-gmix-1d-K4-uneq/far,2,0.006950550883267459,gauss_mixture,far
pow-g1.5,NCJG-gmix-1d-K4-uneq/far,3,0.015269471603381657,gauss_mixture,far
pow-g1.5,NCJG-gmix-1d-K4-uneq/far,4,0.0050960407360320925,gauss_mixture,far
pow-g1.5,NCJG-gmix-1d-K4-uneq/far,5,0.007322975997386072,gauss_mixture,far
pow-g2.0,NCJG-gmix-1d-K4-uneq/far,0,0.005764837278944945,gauss_mixture,far
pow-g2.0,NCJG-gmix-1d-K4-uneq/far,1,0.0057921874266011475,gauss_mixture,far
pow-g2.0,NCJG-gmix-1d-K4-uneq/far,2,0.006261196522084456,gauss_mixture,far
pow-g2.0,NCJG-gmix-1d-K4-uneq/far,3,0.016370073851844857,gauss_mixture,far
pow-g2.0,NCJG-gmix-1d-K4-uneq/far,4,0.005761999807325724,gauss_mixture,far
pow-g2.0,NCJG-gmix-1d-K4-uneq/far,5,0.006959879645396239,gauss_mixture,far
paper,NCJG-gmix-1d-K4-uneq/concentrated,0,0.005860163361171233,gauss_mixture,concentrated
paper,NCJG-gmix-1d-K4-uneq/concentrated,1,0.008585749004132781,gauss_mixture,concentrated
paper,NCJG-gmix-1d-K4-uneq/concentrated,2,0.005386976645932684,gauss_mixture,concentrated
paper,NCJG-gmix-1d-K4-uneq/concentrated,3,0.013063239730274123,gauss_mixture,concentrated
paper,NCJG-gmix-1d-K4-uneq/concentrated,4,0.005963840956529243,gauss_mixture,concentrated
