target_weights,estimator,per_mode,N,batch,mask,seed,total_steps,final_ED2,coverage,mass_error,residual_rms,generator_max_real,perturbation_ratio,stable_wrong_candidate,kernel_pairs,wall_seconds
equal,snis,8,32,64,False,2,400,0.01514531113709583,1.0,0.1875,0.014531918844612544,nan,nan,0,1228800,0.6578760147094727
equal,snis,8,32,64,False,3,400,0.03957831758208685,1.0,0.3125,0.015432742126387433,nan,nan,0,1228800,0.6629819869995117
equal,snis,8,32,64,False,4,400,0.015293267166489044,1.0,0.3125,0.018433665022684904,nan,nan,0,1228800,0.6632082462310791
equal,snis,8,32,64,False,5,400,0.005248452914288992,1.0,0.125,0.01321305305875592,nan,nan,0,1228800,0.6494765281677246
equal,snis,8,32,64,True,0,400,0.014116425643976194,1.0,0.0625,0.0234996252980404,nan,nan,0,1228800,0.6649243831634521
equal,snis,8,32,64,True,1,400,0.021755998377814056,1.0,0.1875,0.04247485402194121,nan,nan,0,1228800,0.6782574653625488
equal,snis,8,32,64,True,2,400,0.02351254768139366,1.0,0.125,0.044459494929175364,nan,nan,0,1228800,0.658782958984375
equal,snis,8,32,64,True,3,400,0.019005784868311948,1.0,0.125,0.033944618958674996,nan,nan,0,1228800,0.6558291912078857
equal,snis,8,32,64,True,4,400,0.017890564577244805,1.0,0.0625,0.026773106204081812,nan,nan,0,1228800,0.6576006412506104
equal,snis,8,32,64,True,5,400,0.018774588930233427,1.0,0.0625,0.04526324138396173,nan,nan,0,1228800,0.6643433570861816
equal,snis,16,64,16,False,0,400,0.0068326735399674154,1.0,0.0625,0.019616698201649102,nan,nan,0,2048000,0.7554965019226074
equal,snis,16,64,16,False,1,400,0.026972930864728073,1.0,0.21875,0.019939427765403434,nan,nan,0,2048000,0.7728769779205322
equal,snis,16,64,16,False,2,400,0.004277835051698764,1.0,0.15625,0.015998088396864722,nan,nan,0,2048000,0.7445619106292725
equal,snis,16,64,16,False,3,400,0.005095869075827486,1.0,0.09375,0.018105896807540715,nan,nan,0,2048000,0.746126651763916
equal,snis,16,64,16,False,4,400,0.004643051939564047,1.0,0.0625,0.01740704642404612,nan,nan,0,2048000,0.7450504302978516
equal,snis,16,64,16,False,5,400,0.007680665599880121,1.0,0.25,0.025743218536184352,nan,nan,0,2048000,0.7514486312866211
equal,snis,16,64,16,True,0,400,0.005835291044626101,1.0,0.03125,0.024566939078865983,nan,nan,0,2048000,0.7482457160949707
equal,snis,16,64,16,True,1,400,0.012826059429086656,1.0,0.0625,0.03287756479305044,nan,nan,0,2048000,0.7457430362701416
equal,snis,16,64,16,True,2,400,0.0035372578040225866,1.0,0.09375,0.02965111454860605,nan,nan,0,2048000,0.7343342304229736
equal,snis,16,64,16,True,3,400,0.00432430604034606,1.0,0.09375,0.025823900110371438,nan,nan,0,2048000,0.7430610656738281
equal,snis,16,64,16,True,4,400,0.005607044691964602,1.0,0.0625,0.025979885690352124,nan,nan,0,2048000,0.7446079254150391
equal,snis,16,64,16,True,5,400,0.0030620650779124015,1.0,0.09375,0.036530312278164584,nan,nan,0,2048000,0.7596251964569092
equal,snis,16,64,64,False,0,400,0.010398051190310786,1.0,0.15625,0.019205097963962015,nan,nan,0,3276800,0.7940068244934082
equal,snis,16,64,64,False,1,400,0.0013227502217015852,1.0,0.09375,0.017226064817484708,nan,nan,0,3276800,0.783785343170166
equal,snis,16,64,64,False,2,400,0.005321341523434886,1.0,0.0625,0.013288262990325447,nan,nan,0,3276800,0.7805275917053223
equal,snis,16,64,64,False,3,400,0.016563473368560566,1.0,0.15625,0.01794020538795415,nan,nan,0,3276800,0.7897381782531738
equal,snis,16,64,64,False,4,400,0.006172875693817748,1.0,0.1875,0.014907469795778103,nan,nan,0,3276800,0.7872228622436523
equal,snis,16,64,64,False,5,400,0.011173127098268565,1.0,0.125,0.013691885451385413,nan,nan,0,3276800,0.7939145565032959
equal,snis,16,64,64,True,0,400,0.008886737021008506,1.0,0.15625,0.025965833539352137,nan,nan,0,3276800,0.7871065139770508
equal,snis,16,64,64,True,1,400,0.006262763775901514,1.0,0.0625,0.027753143929281278,nan,nan,0,3276800,0.7871987819671631
equal,snis,16,64,64,True,2,400,0.007264457022910897,1.0,0.03125,0.019964820468227607,nan,nan,0,3276800,0.7783210277557373
equal,snis,16,64,64,True,3,400,0.01365689244975743,1.0,0.09375,0.027388124886886498,nan,nan,0,3276800,0.7843365669250488
equal,snis,16,64,64,True,4,400,0.005913178380983708,1.0,0.09375,0.02475595951736684,nan,nan,0,3276800,0.7825019359588623
equal,snis,16,64,64,True,5,400,0.009922295168469542,1.0,0.09375,0.020177718621200498,nan,nan,0,3276800,0.7841551303863525
equal,paper,1,4,16,False,0,2000,0.029518811365367492,1.0,0.0,0.0288485216751535,-1.026140937821075,nan,0,160000,2.8255462646484375
equal,paper,1,4,16,False,1,2000,0.2874346669509603,0.75,0.5,0.0410269087855794,0.06409183543113169,0.653097612784031,0,160000,2.8950390815734863
