arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,execution_position,arm_order_seed,paper_tau,paper_gain,online_training_wall_seconds,conditioned_direction_build_seconds,atlas_build_wall_seconds,setup_plus_training_wall_seconds,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,representative_leaf_population_min,representative_leaf_population_max,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,128,2,5,2026072201,1.0,0.15,0.015597000005072914,0.0002490999977453612,0.007146100004320033,0.022992200007138308,64,64,10,10,1.7834038959718805,2.2429019074336867,0.0653743179724029,0.21189997914082892,0.5048583447983386,0.7048551440238953,3.36813166577346,0.5,0.10000000000000005,0.05,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1730137501,16,8,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,35328,72960,0.015597000005072914,0.0,0.0,0.0,0.0,0.7566499710083008
cta-exact-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,0,2026072201,1.0,0.15,0.014787499996600673,0.00042640000174287707,0.005850800000189338,0.021064699998532888,64,64,36,36,0.3208946893756642,8.81419112995982,0.06683639087655457,0.16145863734203897,0.2762299344713453,0.7781354188919067,5.976924615400342,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,32768,1736704.0,1441792.0,294912.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,37376,0,0.014787499996600673,0.0,0.0,0.0,0.0,0.987597644329071
paper-neural-optimized,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,1,2026072201,1.0,0.15,0.03585429999657208,0.0,0.0,0.03585429999657208,64,64,36,36,0.3208946893756642,8.81419112995982,0.0849510027729039,0.1909985789057657,0.3205669220531501,0.7121342420578003,3.4618487804765863,nan,nan,nan,32,2048,2048,32,2048,2048,0,0,0,0.0,0.0,0.0,64,0,0,0.0,0,0,0,0,0,0,0,262144,262144,0,0,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.03585429999657208,0.0,0.0,0.0,0.0,0.0
cta-kll-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,2,2026072201,1.0,0.15,0.033307500001683366,0.00042640000174287707,0.006419299999834038,0.04015320000326028,64,64,36,36,0.3208946893756642,8.81419112995982,0.06469003479976188,0.15797766938709545,0.259295755229095,0.8208078742027283,5.8859636484075,nan,nan,nan,16,1024,2048,32,2048,3072,178176,131072,47104,380928.0,0.0,380928.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,7,14336,86016.0,16384,2,1048576,0.22109796851873398,0.9666253924369812,0.06408844469115138,0.16933488100767136,0.13983291387557983,1924.521728515625,1.4847866892814636,7.888912677764893,0.33947884663939476,1.2367404699325562,4,4,37376,72960,0.033307500001683366,0.25,0.25,0.25,43.40983063880253,1.0995295941829681
cta-kll-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,3,2026072201,1.0,0.15,0.015450900005816948,0.00042640000174287707,0.006419299999834038,0.022296600007393863,64,64,36,36,0.3208946893756642,8.81419112995982,0.0657908612404734,0.1602917478650436,0.27225283711672166,0.7856634855270386,6.010542020363009,nan,nan,nan,16,1024,2048,32,2048,2048,163840,131072,32768,294912.0,0.0,294912.0,64,32,32,32.0,1,1,1586959227,8,4,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,37376,72960,0.015450900005816948,0.0,0.0,0.0,0.0,0.995191216468811
cta-kll-guarded,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,4,2026072201,1.0,0.15,0.03739029999997001,0.00042640000174287707,0.006419299999834038,0.04423600000154693,64,64,36,36,0.3208946893756642,8.81419112995982,0.06469003479976188,0.15797766938709545,0.259295755229095,0.8208078742027283,5.8859636484075,nan,nan,nan,16,1024,2048,32,2048,3072,374784,131072,243712,675840.0,0.0,675840.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,7,14336,86016.0,16384,2,1048576,0.22109796851873398,0.9666253924369812,0.06408844469115138,0.16933488100767136,0.13983291387557983,1924.521728515625,1.4847866892814636,7.888912677764893,0.33947884663939476,1.2367404699325562,4,4,37376,72960,0.03739029999997001,0.25,0.25,0.25,43.40983063880253,1.0995295941829681
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,32,-1,128,2,5,2026072201,1.0,0.15,0.0423265999997966,0.00042640000174287707,0.005850800000189338,0.048603800001728814,64,64,36,36,0.3208946893756642,8.81419112995982,0.06594321304826334,0.15926667037267403,0.26259712121256834,0.8148306608200073,5.8814457885947835,nan,nan,nan,16,1024,2048,32,2048,3072,178176,131072,47104,1822720.0,1441792.0,380928.0,64,32,32,32.0,1,1,1586959227,8,4,2,2,262144,1048576,128,7,14336,86016.0,16384,2,1048576,0.22296682372689247,0.9666253924369812,0.06380144460126758,0.16911600530147552,0.13996247947216034,1928.686767578125,1.4847866892814636,7.888912677764893,0.3391071818768978,1.2314242124557495,4,4,37376,0,0.0423265999997966,0.25,0.25,0.25,43.228749392244936,1.0908148288726807
cta-kll-hybrid,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,2,0,2026072201,1.0,0.15,0.0343496999994386,0.016675899998517707,0.017369299996062182,0.06839489999401849,64,192,136,136,0.18133241385215962,19.103598422078235,0.07466236013875882,0.14338563850385877,0.24020642189415656,0.8527755737304688,9.007260292527947,nan,nan,nan,16,1024,2048,32,2048,3072,440320,393216,47104,380928.0,0.0,380928.0,192,32,32,32.0,0,1,680165851,12,2,2,2,262144,1048576,128,7,14336,86016.0,32768,2,1048576,0.3380511701107025,0.9516143798828125,0.2929024435579777,0.29684214666485786,0.6689972877502441,763.0905151367188,2.6614779233932495,7.185192584991455,0.7156437449157238,2.229790687561035,4,4,123392,218880,0.0343496999994386,0.25,0.25,0.25,23.70714135138529,1.4929211735725403
cta-exact-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,2,1,2026072201,1.0,0.15,0.015849299998080824,0.016675899998517707,0.013373499998124316,0.04589869999472285,64,192,136,136,0.18133241385215962,19.103598422078235,0.08887023304067565,0.15110729830074524,0.24832470133268997,0.8422200083732605,9.032258281322868,nan,nan,nan,16,1024,2048,32,2048,2048,425984,393216,32768,4620288.0,4325376.0,294912.0,192,32,32,32.0,0,1,680165851,12,2,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,123392,0,0.015849299998080824,0.0,0.0,0.0,0.0,1.3960473239421844
cta-kll-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,32,-1,128,2,2,2026072201,1.0,0.15,0.016122000000905246,0.016675899998517707,0.017369299996062182,0.050167199995485134,64,192,136,136,0.18133241385215962,19.103598422078235,0.08625493409077034,0.14901166939327173,0.2465651228201874,0.8441849946975708,9.129239258588173,nan,nan,nan,16,1024,2048,32,2048,2048,425984,393216,32768,294912.0,0.0,294912.0,192,32,32,32.0,0,1,680165851,12,2,0,0,0,0,128,7,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,123392,218880,0.016122000000905246,0.0,0.0,0.0,0.0,1.3957886695861816
