target,family,arm,ed2,heldout_sw1,heldout_projection_rmse,coverage,mass_l1,minority_particle_mass,minority_recovered,bridge_fraction,excess_bridge_fraction,diverged,wall_seconds,persistent_bytes,peak_working_bytes,target_table_rmse,training_projection_rmse
CF-F5-PERTURBED-RING-03,curved-connected,historical-online-psqt,0.001732689253234998,0.03160338896319648,0.03718732973613746,nan,nan,nan,0.0,nan,nan,0.0,0.10708535001322161,18440.0,34824.0,0.022498367364889443,0.017716767662304594
CF-F5-PERTURBED-RING-03,curved-connected,pooled-rank-kll128,0.0009146311262332452,0.01863764925002946,0.023680122652533542,nan,nan,nan,0.0,nan,nan,0.0,0.027890050012501888,48000.0,72576.0,0.01054529703871887,0.022002251619307196
CF-F5-PERTURBED-RING-03,curved-connected,pooled-rank-reservoir1024,0.001577738394754391,0.026070941867421427,0.03351275578846663,nan,nan,nan,0.0,nan,nan,0.0,0.031615749991033226,18448.0,296976.0,0.024469103156823904,0.019626917172794134
CF-F5-PERTURBED-RING-03,curved-connected,exact-pooled-ceiling,0.0008872610160480798,0.018274322872605005,0.023459931262504917,nan,nan,nan,0.0,nan,nan,0.0,0.02736965000804048,309248.0,5240832.0,0.0,0.019444289367150397
CF-F5-PERTURBED-RING-06,curved-connected,paper-tau1,0.009434339578037187,0.062286010101668,0.07816742238599558,nan,nan,nan,0.0,nan,nan,0.0,0.0848863999999594,1024.0,2048.0,nan,nan
CF-F5-PERTURBED-RING-06,curved-connected,historical-online-psqt,0.0017261706378562947,0.02956745436179628,0.03559103058380088,nan,nan,nan,0.0,nan,nan,0.0,0.1088550000131363,18440.0,34824.0,0.021982801744302328,0.016300585793263878
CF-F5-PERTURBED-RING-06,curved-connected,pooled-rank-kll128,0.0008348863551765895,0.016914283752467757,0.021721333221486526,nan,nan,nan,0.0,nan,nan,0.0,0.02866284998890478,48000.0,72576.0,0.009227602615914612,0.01921973273442209
CF-F5-PERTURBED-RING-06,curved-connected,pooled-rank-reservoir1024,0.0014751313608061256,0.023888958679514793,0.030581690306139785,nan,nan,nan,0.0,nan,nan,0.0,0.03392839999287389,18448.0,296976.0,0.025551130340107336,0.017817450899125738
CF-F5-PERTURBED-RING-06,curved-connected,exact-pooled-ceiling,0.0008122301418258537,0.016573492316408388,0.02153701758227876,nan,nan,nan,0.0,nan,nan,0.0,0.02739540000038687,309248.0,5240832.0,0.0,0.017044634138185646
CF-F5-SPIRAL-01,curved-connected,paper-tau1,0.009917564173403226,0.05866823347710018,0.07861295069898139,nan,nan,nan,0.0,nan,nan,0.0,0.07943440000235569,1024.0,2048.0,nan,nan
CF-F5-SPIRAL-01,curved-connected,historical-online-psqt,0.0014483019214805437,0.024400143822697923,0.03197803950421588,nan,nan,nan,0.0,nan,nan,0.0,0.10615195000718813,18440.0,34824.0,0.024911410369299454,0.01372672318690935
CF-F5-SPIRAL-01,curved-connected,pooled-rank-kll128,0.0007187450775453241,0.01305710829874331,0.017427983396072814,nan,nan,nan,0.0,nan,nan,0.0,0.02784730000712443,48000.0,72576.0,0.008773732099594879,0.01816117286221555
CF-F5-SPIRAL-01,curved-connected,pooled-rank-reservoir1024,0.0011651154610481385,0.01814914863264761,0.024842148279972796,nan,nan,nan,0.0,nan,nan,0.0,0.03131179999036249,18448.0,296976.0,0.02087430481868026,0.016102562015994686
CF-F5-SPIRAL-01,curved-connected,exact-pooled-ceiling,0.0006769261229336299,0.012614859074589046,0.016839279870789467,nan,nan,nan,0.0,nan,nan,0.0,0.027982750005321577,309248.0,5240832.0,0.0,0.015857112295243878
CF-F5-SPIRAL-04,curved-connected,paper-tau1,0.01011277646760611,0.05966204826027034,0.07986903970125964,nan,nan,nan,0.0,nan,nan,0.0,0.07960070001718123,1024.0,2048.0,nan,nan
CF-F5-SPIRAL-04,curved-connected,historical-online-psqt,0.00171727107051739,0.02596980289368212,0.032358582219752255,nan,nan,nan,0.0,nan,nan,0.0,0.10716065000451636,18440.0,34824.0,0.02300849198879936,0.013967699926007777
CF-F5-SPIRAL-04,curved-connected,pooled-rank-kll128,0.0008630463598635618,0.01507313763877578,0.019345397424872974,nan,nan,nan,0.0,nan,nan,0.0,0.028182249996461906,48000.0,72576.0,0.008459163609988588,0.01748673810906884
CF-F5-SPIRAL-04,curved-connected,pooled-rank-reservoir1024,0.0015721057982960862,0.02194565855767111,0.028383091998331972,nan,nan,nan,0.0,nan,nan,0.0,0.03180709999287501,18448.0,296976.0,0.020700185771316354,0.01716902318452341
