arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,paper_kernel_pairs,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,0,64,64,36,36,0.3208946893756642,8.81419112995982,0.06684160296243213,0.16174329967130832,0.2790539707891212,0.7716968655586243,5.998159401940151,nan,nan,nan,16,1024,2048,32,2048,2048,196608,2031616.0,64,64,64,64.0,2,2,0,37376,0,0.01811479999742005,0.0,0.0,0.0,0.9808250665664673
cta-kll-global,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,0,64,64,36,36,0.3208946893756642,8.81419112995982,0.06558797484921897,0.16001036862758863,0.2742528451589495,0.779347836971283,6.021371442102032,nan,nan,nan,16,1024,2048,32,2048,2048,196608,589824.0,64,64,64,64.0,2,2,0,37376,72960,0.019471599996904843,0.0,0.0,0.0,0.9883708953857422
cta-exact-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,0,64,64,36,36,0.3208946893756642,8.81419112995982,0.06696715094525807,0.16068447648673492,0.26455752005548266,0.8121953010559082,5.88521376584907,nan,nan,nan,16,1024,2048,32,2048,3072,196608,2031616.0,64,64,64,64.0,2,2,1048576,37376,0,0.024115400003211107,0.25,0.25,49.66163407554509,1.0820998549461365
cta-kll-hybrid,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,0,64,64,36,36,0.3208946893756642,8.81419112995982,0.06693458540816977,0.1606176615083828,0.2619766752886502,0.8190162777900696,5.889591753673095,nan,nan,nan,16,1024,2048,32,2048,3072,196608,589824.0,64,64,64,64.0,2,2,1048576,37376,72960,0.02487000000110129,0.25,0.25,50.05223469538371,1.0906774699687958
cta-kll-guarded,NPR-d8-correlated-t,correlated-t,8,0,concentrated,0.016,0.5,0.25,0,64,64,36,36,0.3208946893756642,8.81419112995982,0.06693458540816977,0.1606176615083828,0.2619766752886502,0.8190162777900696,5.889591753673095,nan,nan,nan,16,1024,2048,32,2048,3072,589824,1179648.0,64,64,64,64.0,2,2,1048576,37376,72960,0.03709200000594137,0.25,0.25,50.05223469538371,1.0906774699687958
cta-exact-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,0,64,192,136,136,0.18133241385215962,19.103598422078235,0.08667352905775427,0.14462796842945247,0.24246582221161583,0.8468848466873169,9.17394706754537,nan,nan,nan,16,1024,2048,32,2048,2048,589824,6094848.0,192,192,192,192.0,2,2,0,123392,0,0.031114700002945028,0.0,0.0,0.0,1.3683249652385712
cta-kll-global,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,0,64,192,136,136,0.18133241385215962,19.103598422078235,0.08623572446052119,0.14361213573744636,0.24064864535639546,0.8510514497756958,9.168342847755309,nan,nan,nan,16,1024,2048,32,2048,2048,589824,1769472.0,192,192,192,192.0,2,2,0,123392,218880,0.03031800000462681,0.0,0.0,0.0,1.3756616413593292
cta-exact-hybrid,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,0,64,192,136,136,0.18133241385215962,19.103598422078235,0.07119842009574473,0.13531335445435155,0.23356166429468736,0.861062228679657,9.251180681745844,nan,nan,nan,16,1024,2048,32,2048,3072,589824,6094848.0,192,192,192,192.0,2,2,1048576,123392,0,0.03566000000137137,0.25,0.25,28.386781708307115,1.4639363884925842
cta-kll-hybrid,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,0,64,192,136,136,0.18133241385215962,19.103598422078235,0.07083345069985025,0.13470831389810778,0.23203760591916064,0.8645246624946594,9.241538505626277,nan,nan,nan,16,1024,2048,32,2048,3072,589824,1769472.0,192,192,192,192.0,2,2,1048576,123392,218880,0.036339199999929406,0.25,0.25,28.474360342341846,1.470641404390335
cta-kll-guarded,NPR-d16-nonlinear,nonlinear,16,0,concentrated,0.016,0.5,0.25,0,64,192,136,136,0.18133241385215962,19.103598422078235,0.06948875940480281,0.1312473788870516,0.23263541181674036,0.8677545785903931,9.248773823398473,nan,nan,nan,16,1024,2048,32,2048,3072,1769472,3538944.0,192,192,192,192.0,2,2,1048576,123392,218880,0.06087129999650642,0.125,0.0,26.790579355823223,1.411418467760086
