tau,eta_frac,target,median_ed2
0.35,0.05,V-3d-K4,0.009538892471440352
0.35,0.05,V-2d-K4-wide,0.005130247984606262
0.35,0.15,V-1d-K3,0.0033288680824142824
0.35,0.15,V-2d-K5,0.005431970707209466
0.35,0.15,V-2d-K4-uneq,0.0042774010412081065
0.35,0.15,V-3d-K4,0.008829161843023181
0.35,0.15,V-2d-K4-wide,0.006064060458147891
0.35,0.4,V-1d-K3,0.0015668527269840915
0.35,0.4,V-2d-K5,0.006773407308265034
0.35,0.4,V-2d-K4-uneq,0.0050665001512907315
0.35,0.4,V-3d-K4,0.010130275058120919
0.35,0.4,V-2d-K4-wide,0.00944681262444691
0.6,0.05,V-1d-K3,0.011149464061845915
0.6,0.05,V-2d-K5,0.011487738845069817
0.6,0.05,V-2d-K4-uneq,0.011575213866809264
0.6,0.05,V-3d-K4,0.012779802097125481
0.6,0.05,V-2d-K4-wide,0.005668790817422442
0.6,0.15,V-1d-K3,0.0024101069659284713
0.6,0.15,V-2d-K5,0.006684735203103198
0.6,0.15,V-2d-K4-uneq,0.005889702271929087
0.6,0.15,V-3d-K4,0.011626827349175084
0.6,0.15,V-2d-K4-wide,0.006567241014572067
0.6,0.4,V-1d-K3,0.002015505078157842
0.6,0.4,V-2d-K5,0.008115630283772823
0.6,0.4,V-2d-K4-uneq,0.006263780104254213
0.6,0.4,V-3d-K4,0.011116410971377944
0.6,0.4,V-2d-K4-wide,0.009552619669217721
1.0,0.05,V-1d-K3,0.012008386140192284
1.0,0.05,V-2d-K5,0.015913843919696857
1.0,0.05,V-2d-K4-uneq,0.015737070534405095
1.0,0.05,V-3d-K4,0.016177167653694702
1.0,0.05,V-2d-K4-wide,0.0077837200505321835
1.0,0.15,V-1d-K3,0.003352097411439492
1.0,0.15,V-2d-K5,0.009883256764547932
1.0,0.15,V-2d-K4-uneq,0.008591593691635646
1.0,0.15,V-3d-K4,0.01582463253669597
1.0,0.15,V-2d-K4-wide,0.008171857231499047
1.0,0.4,V-1d-K3,0.0031358497264692975
1.0,0.4,V-2d-K5,0.009913097170601626
1.0,0.4,V-2d-K4-uneq,0.007815070071432784
1.0,0.4,V-3d-K4,0.014627927300612686
1.0,0.4,V-2d-K4-wide,0.010917705165701896
1.75,0.05,V-1d-K3,0.014843542718487202
1.75,0.05,V-2d-K5,0.021116396852218777
1.75,0.05,V-2d-K4-uneq,0.020716322763067785
1.75,0.05,V-3d-K4,0.021262381025338506
1.75,0.05,V-2d-K4-wide,0.010909289191204152
1.75,0.15,V-1d-K3,0.004886429211915511
1.75,0.15,V-2d-K5,0.015068479598921325
1.75,0.15,V-2d-K4-uneq,0.013594791504032422
1.75,0.15,V-3d-K4,0.023328285443942498
1.75,0.15,V-2d-K4-wide,0.011506371805077409
1.75,0.4,V-1d-K3,0.005252095178630123
1.75,0.4,V-2d-K5,0.01362205804294181
1.75,0.4,V-2d-K4-uneq,0.011180743141301352
1.75,0.4,V-3d-K4,0.022432338075607294
1.75,0.4,V-2d-K4-wide,0.014979107906467393
paper-temps,0.15,V-1d-K3,0.10262891172297395
paper-temps,0.15,V-2d-K5,0.02256377538918808
paper-temps,0.15,V-2d-K4-uneq,0.016700527923523167
paper-temps,0.15,V-3d-K4,0.009595531997303341
paper-temps,0.15,V-2d-K4-wide,0.019392004656768824
