arm,target,family,dimension,replication,initialization,learning_rate,particle_step,registered_local_weight,registered_active_direction_count,registered_local_field_calls,registered_local_representative_count,registered_representative_audit_calls,registered_direction_count,conditioned_direction_count,quadratic_parameter_dimension,quadratic_rank,quadratic_smallest_singular_value,quadratic_condition_number,ed2,heldout_sw1,training_quantile_rmse,output_rms,covariance_effective_rank,mode_coverage,mode_mass_error,rare_mass_error,completed_updates,unique_latent_samples,generator_example_evals_training,generator_forward_calls_training,unique_target_observations,target_example_accesses,projection_scalar_products,atlas_projection_scalar_products,training_projection_scalar_products,sort_work,atlas_sort_work,training_sort_work,full_direction_count,active_direction_count_min,active_direction_count_max,mean_active_direction_count,direction_exposure_min,direction_exposure_max,direction_schedule_seed,orthogonal_direction_block_count,active_direction_block_count,local_field_calls,registered_local_field_call_count,paper_kernel_pairs,dense_equivalent_paper_kernel_pairs,local_representative_count,representative_tree_levels,representative_partition_projection_scalar_products,representative_partition_sort_work,representative_center_coordinate_accumulations,representative_audit_calls,representative_audit_dense_kernel_pairs,mean_representative_field_relative_l2_error,minimum_representative_field_cosine,mean_representative_row_mass_relative_l2_error,mean_representative_column_mass_relative_l2_error,maximum_representative_row_mass_relative_error,maximum_representative_column_mass_relative_error,mean_positive_representative_rms_radius,maximum_positive_representative_radius,mean_negative_representative_rms_radius,maximum_negative_representative_radius,atlas_bytes,kll_serialized_bytes,wall_seconds,mean_selected_local_weight,minimum_selected_local_weight,mean_selected_local_weight_when_active,mean_local_scale,mean_teacher_displacement_rms
cta-exact-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.021710571203088946,0.10515159584011391,0.13641650874659997,0.9992228150367737,2.5680256008084026,1.0,0.0224609375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,189739325,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68608,0,0.17301429999497486,0.0,0.0,0.0,0.0,0.1938877899199724
cta-kll-global,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.02175510613998277,0.10507982402516712,0.13631317227335102,0.9978406429290771,2.5742589389305803,1.0,0.0234375,nan,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,189739325,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68608,98048,0.1515858999991906,0.0,0.0,0.0,0.0,0.19421821199357509
cta-exact-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.017515940082302173,0.09440093101856728,0.125571978419869,1.0002156496047974,2.5857915266078475,1.0,0.025390625,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,189739325,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5573329865932465,2.7256038188934326,0.478473894065246,2.288458824157715,68608,0,0.19252480000432115,0.25,0.25,0.25,4.006166061216478,0.2176856592297554
cta-kll-hybrid,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.017253490239477642,0.09347267504517953,0.1246424185533094,0.9980266690254211,2.5879186813733077,1.0,0.0263671875,nan,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,189739325,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5573329865932465,2.7256038188934326,0.48002203009091315,2.2688841819763184,68608,98048,0.19094060000497848,0.25,0.25,0.25,4.001050986911988,0.21824535988271238
cta-kll-guarded,NPR-d4-balanced-gmm,balanced-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.5561757015747395,2.5704038406153518,0.017404721343991625,0.09400858759818452,0.1250321831103823,0.9986457824707031,2.5888425073559325,1.0,0.025390625,nan,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,189739325,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.5573329865932465,2.7256038188934326,0.4800863420125097,2.2688841819763184,68608,98048,0.2436766999962856,0.24,0.05,0.24,3.9973548695260086,0.2174505341798067
cta-exact-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.004845245625992423,0.05560205779344007,0.10994918485558831,1.0209500789642334,2.8278051551108345,1.0,0.03378906249999995,0.016894531249999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,21721157.592530765,18772037.592530765,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68608,0,0.14808780000021216,0.0,0.0,0.0,0.0,0.21398065090179444
cta-kll-global,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.004931770360327992,0.05642574143723701,0.111766297216479,1.0158783197402954,2.839389469315696,1.0,0.03574218749999995,0.017871093749999997,160,10240,20480,320,20480,20480,1638400,1310720,327680,2949120.0,0.0,2949120.0,64,32,32,32.0,10,10,1730137501,16,8,0,0,0,0,64,6,0,0.0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68608,98048,0.1483834000027855,0.0,0.0,0.0,0.0,0.2110800828784704
cta-exact-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.011795495445337867,0.08121619688355511,0.12885516896843283,1.0431420803070068,2.7887323196786684,1.0,0.03281249999999995,0.016406249999999997,160,10240,20480,320,20480,30720,1761280,1310720,450560,22519877.592530765,18772037.592530765,3747840.0,64,32,32,32.0,10,10,1730137501,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.800699633359909,4.685269832611084,0.7364988597575575,3.7553963661193848,68608,0,0.1971408000026713,0.25,0.25,0.25,4.62929436679333,0.24783064983785152
cta-kll-hybrid,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.011962535786574247,0.08206295444754805,0.13075068751354457,1.031908392906189,2.8793662796522335,1.0,0.025976562499999953,0.012988281249999997,160,10240,20480,320,20480,30720,1761280,1310720,450560,3747840.0,0.0,3747840.0,64,32,32,32.0,10,10,1730137501,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.800699633359909,4.685269832611084,0.7373353140894323,3.6714377403259277,68608,98048,0.20264669999596663,0.25,0.25,0.25,4.615649806424345,0.24636793434619902
cta-kll-guarded,NPR-d4-rare-gmm,rare-gmm,4,0,concentrated,0.016,0.5,0.25,32,-1,64,0,64,64,10,10,1.7834038959718805,2.2429019074336867,0.01310334346665476,0.08778028479444724,0.1297416492027456,1.0418678522109985,2.8453136108936983,1.0,0.03183593749999995,0.015917968749999997,160,10240,20480,320,20480,30720,3727360,1310720,2416640,6696960.0,0.0,6696960.0,64,32,32,32.0,10,10,1730137501,16,8,20,20,1310720,10485760,64,6,122880,798720.0,81920,0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.800699633359909,4.685269832611084,0.7384407001081854,3.6919963359832764,68608,98048,0.24044569999387022,0.175,0.0,0.175,4.56281005851427,0.22950534373521805
