stream,order,repeat,implementation,chunks,merged,n,retained_items,serialized_bytes,max_rank_error,mean_rank_error,quantile_rmse,monotone,observed_support,serialized_replay
gaussian,ascending,10,local-fixed-capacity,1,0,19200,75,300,0.01130208333333338,0.005010579427083333,0.06923195719718933,1,1,1
gaussian,ascending,11,apache,1,0,19200,344,1436,0.00708333333333333,0.0025398763020833366,0.020857812836766243,1,1,1
gaussian,ascending,11,local-fixed-capacity,1,0,19200,75,300,0.008229166666666676,0.0035221354166666665,0.03262283653020859,1,1,1
gaussian,ascending,-1,apache,17,0,19200,344,1436,0.004010416666666683,0.0012939453124999954,0.010628780350089073,1,1,1
gaussian,ascending,-2,apache,17,1,19200,353,1468,0.004479166666666645,0.001120605468749996,0.009095784276723862,1,1,1
gaussian,alternating-extremes,0,apache,1,0,19200,344,1436,0.005156249999999973,0.001676432291666668,0.034051112830638885,1,1,1
gaussian,alternating-extremes,0,local-fixed-capacity,1,0,19200,75,300,0.007187500000000013,0.0033390299479166695,0.0255853570997715,1,1,1
gaussian,alternating-extremes,1,apache,1,0,19200,344,1436,0.007343749999999982,0.002338053385416668,0.019444866105914116,1,1,1
gaussian,alternating-extremes,1,local-fixed-capacity,1,0,19200,75,300,0.00927083333333334,0.0038680013020833347,0.04233622923493385,1,1,1
gaussian,alternating-extremes,2,apache,1,0,19200,344,1436,0.0044270833333333315,0.001752115885416672,0.01603575050830841,1,1,1
gaussian,alternating-extremes,2,local-fixed-capacity,1,0,19200,75,300,0.00979166666666667,0.004101562500000001,0.04671686515212059,1,1,1
gaussian,alternating-extremes,3,apache,1,0,19200,344,1436,0.006614583333333333,0.0026253255208333317,0.02406320720911026,1,1,1
gaussian,alternating-extremes,3,local-fixed-capacity,1,0,19200,75,300,0.01317708333333334,0.006614583333333333,0.2021142989397049,1,1,1
gaussian,alternating-extremes,4,apache,1,0,19200,344,1436,0.0068229166666666785,0.0028019205729166653,0.024742159992456436,1,1,1
gaussian,alternating-extremes,4,local-fixed-capacity,1,0,19200,75,300,0.010729166666666679,0.004625651041666667,0.06072733923792839,1,1,1
gaussian,alternating-extremes,5,apache,1,0,19200,344,1436,0.010156249999999978,0.003933919270833334,0.04215725511312485,1,1,1
gaussian,alternating-extremes,5,local-fixed-capacity,1,0,19200,75,300,0.012812500000000004,0.006261393229166667,0.1277000457048416,1,1,1
gaussian,alternating-extremes,6,apache,1,0,19200,344,1436,0.005729166666666674,0.0026180013020833375,0.01714620552957058,1,1,1
gaussian,alternating-extremes,6,local-fixed-capacity,1,0,19200,75,300,0.008124999999999993,0.00349609375,0.03171684965491295,1,1,1
gaussian,alternating-extremes,7,apache,1,0,19200,344,1436,0.004479166666666701,0.0014363606770833328,0.017690036445856094,1,1,1
gaussian,alternating-extremes,7,local-fixed-capacity,1,0,19200,75,300,0.008437499999999987,0.0035782877604166657,0.033597081899642944,1,1,1
gaussian,alternating-extremes,8,apache,1,0,19200,344,1436,0.006927083333333306,0.003283691406249995,0.017960166558623314,1,1,1
gaussian,alternating-extremes,8,local-fixed-capacity,1,0,19200,75,300,0.008906250000000004,0.00372802734375,0.03777627646923065,1,1,1
gaussian,alternating-extremes,9,apache,1,0,19200,344,1436,0.006302083333333319,0.002957356770833334,0.018559632822871208,1,1,1
gaussian,alternating-extremes,9,local-fixed-capacity,1,0,19200,75,300,0.0122916666666667,0.005791015625,0.09283950179815292,1,1,1
gaussian,alternating-extremes,10,apache,1,0,19200,344,1436,0.006041666666666667,0.0023242187499999995,0.018915792927145958,1,1,1
gaussian,alternating-extremes,10,local-fixed-capacity,1,0,19200,75,300,0.009062499999999973,0.003785807291666668,0.03910456597805023,1,1,1
gaussian,alternating-extremes,11,apache,1,0,19200,344,1436,0.004739583333333332,0.00171630859375,0.017679234966635704,1,1,1
