tau,eta_frac,target,median_ed2
1.75,0.15,V-2d-K4-wide,0.01909194542368553
1.75,0.4,V-1d-K3,0.023915095440335432
1.75,0.4,V-2d-K5,0.053127178401564557
1.75,0.4,V-2d-K4-uneq,0.05215061820374034
1.75,0.4,V-3d-K4,0.07131073623586925
1.75,0.4,V-2d-K4-wide,0.04083596452914717
paper-temps,0.4,V-1d-K3,0.24630617654913378
paper-temps,0.4,V-2d-K5,0.15083599728832264
paper-temps,0.4,V-2d-K4-uneq,0.12914356155367823
paper-temps,0.4,V-3d-K4,0.07002347002550224
paper-temps,0.4,V-2d-K4-wide,0.11152195426961331
