arm,kind,tau,target,family,init,cell,seed,budget,virtual_batch,warm_fraction,pulse_period,noise_mix,planned_steps,completed_steps,wall_seconds,generator_forward_calls,generator_example_evals,unique_latent_samples,target_samples,kernel_pairs,sort_work,selector_calls,selector_kernel_pairs,selector_example_evals,tau_counts,ed2,sw1,weighted_reach,mass_l1,event_time,censored,diverged
rsr-M1024-f0.70-u,rsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,concentrated,LBQCD-D01-unequal-min050-K8/concentrated,2,update,1024,0.7,0,0.0,400,400,1.1145687000098405,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.017326698644466898,0.16098890058623225,1.0,0.11542968749999999,100,0,0
nrsr-M1024-f0.70-l0.25-u,nrsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,update,1024,0.7,0,0.25,400,400,1.5059089999995194,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.019387152816107367,0.14563849162322287,1.0,0.07179687500000001,100,0,0
nrsr-M1024-f0.70-l0.25-u,nrsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,update,1024,0.7,0,0.25,400,400,1.411303400003817,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.018215603403062275,0.14535224592379986,1.0,0.06117187499999999,100,0,0
nrsr-M1024-f0.70-l0.25-u,nrsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,update,1024,0.7,0,0.25,400,400,1.3971503999928245,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.012881210057980708,0.1523419771655273,1.0,0.09378906249999999,100,0,0
nrsr-M1024-f0.70-l0.50-u,nrsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,update,1024,0.7,0,0.5,400,400,1.32498749998922,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.018641387362531958,0.1432867298339574,1.0,0.0719921875,100,0,0
nrsr-M1024-f0.70-l0.50-u,nrsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,update,1024,0.7,0,0.5,400,400,1.4486305000027642,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.01787004422663041,0.14546953045651254,1.0,0.06449218749999996,100,0,0
nrsr-M1024-f0.70-l0.50-u,nrsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,update,1024,0.7,0,0.5,400,400,1.4083180000016,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.012885027442840036,0.15170323542408246,1.0,0.09476562499999999,100,0,0
nrsr-M1024-f0.70-l0.75-u,nrsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,0,update,1024,0.7,0,0.75,400,400,1.2581406999961473,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.01834380972373495,0.14506151083571595,1.0,0.07398437499999999,100,0,0
nrsr-M1024-f0.70-l0.75-u,nrsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,1,update,1024,0.7,0,0.75,400,400,1.3107815000112168,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.01783785110481717,0.145098647982209,1.0,0.06449218749999996,100,0,0
nrsr-M1024-f0.70-l0.75-u,nrsr,0.5,LBQCD-D01-unequal-min050-K8,unequal,missing,LBQCD-D01-unequal-min050-K8/missing,2,update,1024,0.7,0,0.75,400,400,1.2843865000031656,4600,588800,302080,302080,3932160,5734400.0,0,0,0,"{""0.2"": 0, ""0.5"": 0, ""1.0"": 0, ""2.0"": 0, ""4.0"": 0}",0.01370379749664763,0.15076787438104555,1.0,0.1106640625,100,0,0
